rank,archetype,foods,portions_g,total_weight_g,protein_g,leucine_g,bcaa_g,lysine_g,methionine_g,energy_kcal,meal_score,sub_leucine_score,sub_protein_score,sub_kcal_score,sub_ratio_score,sub_lysine_score,sub_methionine_score,sub_weight_score,sub_supplement_synergy
33,Protein shake,"Pea protein isolate + Chia seeds, raw + Spirulina, dried",30 + 25 + 10,65,32.4,2.79,5.86,2.11,0.43,264.0,0.786,1.0,1.0,0.005,0.988,1.0,0.618,1.0,0.1
34,Protein shake,"Rice protein powder + Flaxseed, raw + Nutritional yeast",30 + 15 + 15,60,34.2,2.56,5.46,1.25,0.87,241.0,0.786,1.0,1.0,0.005,0.998,0.832,1.0,1.0,0.05
35,Protein shake,"Rice protein powder + Chia seeds, raw + Spirulina, dried",30 + 25 + 10,65,33.9,2.7,5.8,1.21,0.85,262.0,0.785,1.0,1.0,0.005,0.991,0.805,1.0,1.0,0.1
36,Protein shake,"Pea protein isolate + Chia seeds, raw + Nutritional yeast",30 + 25 + 15,70,34.1,2.81,5.86,2.21,0.47,285.0,0.785,1.0,1.0,0.005,0.981,1.0,0.668,1.0,0.05
37,Protein shake,"Pea protein isolate + Flaxseed, raw + Spirulina, dried",30 + 15 + 10,55,31.0,2.63,5.52,2.05,0.41,223.0,0.784,1.0,1.0,0.006,0.987,1.0,0.586,1.0,0.1
38,Protein shake,"Hemp protein powder + Hemp seeds, hulled + Nutritional yeast",30 + 30 + 15,75,32.0,2.41,5.16,1.39,0.74,336.0,0.784,0.963,1.0,0.004,0.993,0.926,1.0,1.0,0.05
39,Protein shake,"Pea protein isolate + Flaxseed, raw + Nutritional yeast",30 + 15 + 15,60,32.7,2.65,5.52,2.15,0.45,244.0,0.783,1.0,1.0,0.005,0.98,1.0,0.636,1.0,0.05
40,Protein shake,"Rice protein powder + Flaxseed, raw + Spirulina, dried",30 + 15 + 10,55,32.5,2.54,5.46,1.15,0.83,220.0,0.781,1.0,1.0,0.006,0.99,0.764,1.0,1.0,0.1
41,Soy + grain,"Tofu, firm, raw + Quinoa, raw + Pumpkin seeds, dried",100 + 50 + 30,180,31.9,2.42,5.22,1.75,0.53,500.0,0.779,0.966,1.0,0.002,0.985,1.0,0.763,1.0,0.05
42,Protein shake,"Hemp protein powder + Pumpkin seeds, dried + Nutritional yeast",30 + 30 + 15,75,31.6,2.38,5.15,1.37,0.67,342.0,0.777,0.953,1.0,0.003,0.986,0.916,0.956,1.0,0.05
43,Soy + grain,"Tofu, firm, raw + Buckwheat, raw + Pumpkin seeds, dried",100 + 50 + 30,180,31.5,2.41,5.22,1.72,0.49,488.0,0.776,0.964,1.0,0.002,0.984,1.0,0.699,1.0,0.05
44,Protein shake,"Hemp protein powder + Hemp seeds, hulled + Spirulina, dried",30 + 30 + 10,70,30.2,2.39,5.16,1.29,0.71,315.0,0.776,0.955,1.0,0.004,0.985,0.858,1.0,1.0,0.1
45,Soy + grain,"Tofu, firm, raw + Amaranth, raw + Pumpkin seeds, dried",100 + 50 + 30,180,31.7,2.39,5.15,1.69,0.51,502.0,0.775,0.956,1.0,0.002,0.988,1.0,0.734,1.0,0.05
46,Legume + grain bowl,"Lentils, raw + Oats, raw + Hemp seeds, hulled",50 + 50 + 30,130,30.8,2.34,5.09,1.63,0.55,537.0,0.771,0.936,1.0,0.002,0.98,1.0,0.784,1.0,0.05
47,Legume + grain bowl,"Mung beans, raw + Oats, raw + Hemp seeds, hulled",50 + 50 + 30,130,29.9,2.31,5.01,1.56,0.56,534.0,0.767,0.924,0.996,0.002,0.982,1.0,0.799,1.0,0.05
48,Legume + grain bowl,"Split peas, raw + Oats, raw + Hemp seeds, hulled",50 + 50 + 30,130,30.2,2.3,4.99,1.59,0.54,531.0,0.766,0.92,1.0,0.002,0.981,1.0,0.777,1.0,0.05
49,Protein shake,"Hemp protein powder + Pumpkin seeds, dried + Spirulina, dried",30 + 30 + 10,70,29.8,2.36,5.15,1.27,0.63,321.0,0.766,0.945,0.994,0.004,0.978,0.848,0.906,1.0,0.1
50,Legume + grain bowl,"Kidney beans, raw + Oats, raw + Hemp seeds, hulled",50 + 50 + 30,130,29.7,2.26,4.9,1.53,0.56,527.0,0.761,0.904,0.991,0.002,0.983,1.0,0.806,1.0,0.05
51,Soy + grain,"Edamame, raw + Oats, raw + Pumpkin seeds, dried",100 + 50 + 30,180,29.4,2.34,5.07,1.49,0.48,488.0,0.761,0.934,0.98,0.002,0.981,0.993,0.691,1.0,0.05
52,Protein oatmeal,"Oats, raw + Hemp protein powder + Chia seeds, raw + Walnuts, English, raw",50 + 30 + 25 + 20,125,30.6,2.36,5.15,1.19,0.64,567.0,0.758,0.943,1.0,0.002,0.975,0.793,0.915,1.0,0.05
53,Soy + grain,"Tofu, firm, raw + Brown rice, raw + Pumpkin seeds, dried",100 + 50 + 30,180,28.8,2.31,4.98,1.56,0.47,501.0,0.754,0.922,0.96,0.002,0.985,1.0,0.67,1.0,0.05
54,Legume + grain bowl,"Black beans, raw + Oats, raw + Hemp seeds, hulled",50 + 50 + 30,130,28.7,2.19,4.75,1.47,0.55,531.0,0.743,0.876,0.958,0.002,0.981,0.979,0.791,1.0,0.05
55,Legume + grain bowl,"Lentils, raw + Quinoa, raw + Hemp seeds, hulled",50 + 50 + 30,130,29.4,2.12,4.58,1.65,0.55,526.0,0.741,0.848,0.981,0.002,0.986,1.0,0.784,1.0,0.05
56,Legume + grain bowl,"Lentils, raw + Amaranth, raw + Hemp seeds, hulled",50 + 50 + 30,130,29.2,2.09,4.51,1.59,0.53,528.0,0.735,0.838,0.973,0.002,0.989,1.0,0.756,1.0,0.05
57,Legume + grain bowl,"Lentils, raw + Buckwheat, raw + Hemp seeds, hulled",50 + 50 + 30,130,29.0,2.12,4.57,1.62,0.5,514.0,0.735,0.846,0.968,0.002,0.985,1.0,0.72,1.0,0.05
58,Legume + grain bowl,"Split peas, raw + Quinoa, raw + Hemp seeds, hulled",50 + 50 + 30,130,28.8,2.08,4.48,1.61,0.54,521.0,0.732,0.832,0.961,0.002,0.988,1.0,0.777,1.0,0.05
59,Legume + grain bowl,"Mung beans, raw + Quinoa, raw + Hemp seeds, hulled",50 + 50 + 30,130,28.5,2.09,4.5,1.58,0.56,523.0,0.732,0.836,0.949,0.002,0.989,1.0,0.799,1.0,0.05
60,Protein shake,"Hemp protein powder + Sunflower seeds, dried + Nutritional yeast",30 + 30 + 15,75,28.8,2.15,4.64,1.22,0.66,345.0,0.73,0.861,0.96,0.003,0.989,0.814,0.939,1.0,0.05
61,Legume + grain bowl,"Mung beans, raw + Amaranth, raw + Hemp seeds, hulled",50 + 50 + 30,130,28.2,2.06,4.43,1.52,0.54,525.0,0.727,0.826,0.941,0.002,0.992,1.0,0.77,1.0,0.05
62,Soy + grain,"Edamame, raw + Quinoa, raw + Pumpkin seeds, dried",100 + 50 + 30,180,28.0,2.12,4.56,1.5,0.48,477.0,0.727,0.846,0.934,0.002,0.987,1.0,0.691,1.0,0.05
63,Legume + grain bowl,"Split peas, raw + Amaranth, raw + Hemp seeds, hulled",50 + 50 + 30,130,28.6,2.06,4.41,1.55,0.52,522.0,0.726,0.822,0.953,0.002,0.991,1.0,0.749,1.0,0.05
64,Legume + grain bowl,"Split peas, raw + Buckwheat, raw + Hemp seeds, hulled",50 + 50 + 30,130,28.4,2.08,4.48,1.58,0.5,508.0,0.726,0.83,0.948,0.002,0.987,1.0,0.713,1.0,0.05
65,Legume + grain bowl,"Mung beans, raw + Buckwheat, raw + Hemp seeds, hulled",50 + 50 + 30,130,28.1,2.08,4.49,1.55,0.51,511.0,0.726,0.834,0.936,0.002,0.988,1.0,0.734,1.0,0.05
66,Legume + grain bowl,"Kidney beans, raw + Quinoa, raw + Hemp seeds, hulled",50 + 50 + 30,130,28.3,2.04,4.39,1.54,0.56,516.0,0.726,0.816,0.944,0.002,0.99,1.0,0.806,1.0,0.05
67,Legume + grain bowl,"Kidney beans, raw + Buckwheat, raw + Hemp seeds, hulled",50 + 50 + 30,130,27.9,2.04,4.38,1.51,0.52,504.0,0.719,0.814,0.931,0.002,0.988,1.0,0.741,1.0,0.05
68,Legume + grain bowl,"Kidney beans, raw + Amaranth, raw + Hemp seeds, hulled",50 + 50 + 30,130,28.1,2.02,4.32,1.48,0.54,518.0,0.719,0.806,0.936,0.002,0.993,0.989,0.777,1.0,0.05
69,Soy + grain,"Edamame, raw + Buckwheat, raw + Pumpkin seeds, dried",100 + 50 + 30,180,27.6,2.11,4.56,1.47,0.44,465.0,0.718,0.844,0.92,0.002,0.986,0.983,0.627,1.0,0.05
70,Legume + grain bowl,"Chickpeas, raw + Oats, raw + Hemp seeds, hulled",50 + 50 + 30,130,27.6,2.1,4.56,1.41,0.52,542.0,0.718,0.84,0.919,0.002,0.98,0.939,0.741,1.0,0.05
71,Soy + grain,"Edamame, raw + Amaranth, raw + Pumpkin seeds, dried",100 + 50 + 30,180,27.8,2.09,4.49,1.44,0.46,479.0,0.717,0.836,0.925,0.002,0.991,0.963,0.663,1.0,0.05
72,Legume + grain bowl,"Black beans, raw + Quinoa, raw + Hemp seeds, hulled",50 + 50 + 30,130,27.3,1.97,4.24,1.48,0.55,520.0,0.709,0.788,0.911,0.002,0.988,0.989,0.791,1.0,0.05
73,Protein shake,"Hemp protein powder + Sunflower seeds, dried + Spirulina, dried",30 + 30 + 10,70,27.0,2.13,4.64,1.12,0.62,324.0,0.709,0.853,0.902,0.003,0.98,0.746,0.889,1.0,0.1
74,Legume + grain bowl,"Lentils, raw + Brown rice, raw + Hemp seeds, hulled",50 + 50 + 30,130,26.3,2.01,4.34,1.45,0.48,527.0,0.7,0.804,0.878,0.002,0.986,0.969,0.691,1.0,0.05
75,Legume + grain bowl,"Black beans, raw + Buckwheat, raw + Hemp seeds, hulled",50 + 50 + 30,130,26.9,1.96,4.24,1.45,0.51,508.0,0.7,0.786,0.898,0.002,0.987,0.969,0.727,1.0,0.05
76,Legume + grain bowl,"Black beans, raw + Amaranth, raw + Hemp seeds, hulled",50 + 50 + 30,130,27.1,1.94,4.17,1.42,0.53,522.0,0.699,0.778,0.903,0.002,0.992,0.949,0.763,1.0,0.05
77,Protein shake,"Hemp protein powder + Chia seeds, raw + Nutritional yeast",30 + 25 + 15,70,26.6,2.0,4.3,1.16,0.59,291.0,0.689,0.8,0.888,0.003,0.99,0.773,0.839,1.0,0.05
78,Legume + grain bowl,"Split peas, raw + Brown rice, raw + Hemp seeds, hulled",50 + 50 + 30,130,25.7,1.97,4.24,1.41,0.48,522.0,0.688,0.788,0.858,0.002,0.988,0.943,0.684,1.0,0.05
79,Legume + grain bowl,"Mung beans, raw + Brown rice, raw + Hemp seeds, hulled",50 + 50 + 30,130,25.4,1.98,4.26,1.38,0.49,524.0,0.686,0.792,0.846,0.002,0.99,0.923,0.706,1.0,0.05
80,Legume + grain bowl,"Chickpeas, raw + Quinoa, raw + Hemp seeds, hulled",50 + 50 + 30,130,26.2,1.88,4.05,1.42,0.52,532.0,0.684,0.752,0.873,0.002,0.987,0.949,0.741,1.0,0.05
81,Legume + grain bowl,"Kidney beans, raw + Brown rice, raw + Hemp seeds, hulled",50 + 50 + 30,130,25.2,1.93,4.15,1.35,0.5,517.0,0.677,0.772,0.841,0.002,0.99,0.899,0.713,1.0,0.05
82,Soy + grain,"Edamame, raw + Brown rice, raw + Pumpkin seeds, dried",100 + 50 + 30,180,24.9,2.01,4.32,1.31,0.42,478.0,0.676,0.802,0.83,0.002,0.988,0.873,0.599,1.0,0.05
83,Legume + grain bowl,"Chickpeas, raw + Buckwheat, raw + Hemp seeds, hulled",50 + 50 + 30,130,25.8,1.88,4.05,1.39,0.47,519.0,0.675,0.75,0.859,0.002,0.986,0.929,0.677,1.0,0.05
84,Legume + grain bowl,"Chickpeas, raw + Amaranth, raw + Hemp seeds, hulled",50 + 50 + 30,130,25.9,1.86,3.98,1.36,0.5,533.0,0.674,0.742,0.864,0.002,0.991,0.909,0.713,1.0,0.05
85,Protein shake,"Hemp protein powder + Chia seeds, raw + Spirulina, dried",30 + 25 + 10,65,24.9,1.98,4.3,1.06,0.55,270.0,0.667,0.792,0.829,0.004,0.98,0.705,0.789,1.0,0.1
86,Legume + grain bowl,"Black beans, raw + Brown rice, raw + Hemp seeds, hulled",50 + 50 + 30,130,24.2,1.86,4.0,1.29,0.49,521.0,0.657,0.744,0.808,0.002,0.989,0.859,0.699,1.0,0.05
87,Protein shake,"Hemp protein powder + Flaxseed, raw + Nutritional yeast",30 + 15 + 15,60,25.2,1.84,3.96,1.1,0.57,250.0,0.655,0.736,0.842,0.004,0.989,0.732,0.808,1.0,0.05
88,Protein shake,"Hemp protein powder + Flaxseed, raw + Spirulina, dried",30 + 15 + 10,55,23.5,1.82,3.96,1.0,0.53,229.0,0.633,0.728,0.783,0.004,0.979,0.664,0.758,1.0,0.1
89,Legume + grain bowl,"Chickpeas, raw + Brown rice, raw + Hemp seeds, hulled",50 + 50 + 30,130,23.1,1.77,3.81,1.23,0.45,533.0,0.632,0.708,0.769,0.002,0.988,0.819,0.649,1.0,0.05
