rank,archetype,foods,portions_g,total_weight_g,protein_g,leucine_g,bcaa_g,lysine_g,methionine_g,energy_kcal,meal_score,sub_leucine_score,sub_protein_score,sub_kcal_score,sub_ratio_score,sub_lysine_score,sub_methionine_score,sub_weight_score,sub_supplement_synergy
1,Protein shake,"Soy protein isolate + Hemp seeds, hulled + Spirulina, dried",30 + 30 + 10,70,39.4,3.23,6.78,2.22,0.68,296.0,0.803,1.0,1.0,0.005,0.988,1.0,0.97,1.0,0.1
2,Protein shake,"Rice protein powder + Pumpkin seeds, dried + Nutritional yeast",30 + 30 + 15,75,40.6,3.1,6.65,1.52,0.97,333.0,0.803,1.0,1.0,0.005,0.994,1.0,1.0,1.0,0.05
3,Protein shake,"Rice protein powder + Hemp seeds, hulled + Nutritional yeast",30 + 30 + 15,75,41.0,3.13,6.66,1.54,1.04,327.0,0.803,1.0,1.0,0.005,0.999,1.0,1.0,1.0,0.05
4,Protein shake,"Soy protein isolate + Hemp seeds, hulled + Nutritional yeast",30 + 30 + 15,75,41.2,3.25,6.78,2.32,0.71,317.0,0.801,1.0,1.0,0.005,0.982,1.0,1.0,1.0,0.05
5,Protein shake,"Rice protein powder + Hemp seeds, hulled + Spirulina, dried",30 + 30 + 10,70,39.2,3.11,6.66,1.44,1.01,306.0,0.801,1.0,1.0,0.005,0.993,0.958,1.0,1.0,0.1
6,Protein shake,"Rice protein powder + Pumpkin seeds, dried + Spirulina, dried",30 + 30 + 10,70,38.8,3.08,6.65,1.42,0.93,312.0,0.799,1.0,1.0,0.005,0.988,0.948,1.0,1.0,0.1
7,Protein shake,"Soy protein isolate + Pumpkin seeds, dried + Spirulina, dried",30 + 30 + 10,70,39.0,3.2,6.77,2.2,0.6,303.0,0.798,1.0,1.0,0.005,0.993,1.0,0.863,1.0,0.1
8,Protein shake,"Soy protein isolate + Pumpkin seeds, dried + Nutritional yeast",30 + 30 + 15,75,40.8,3.22,6.77,2.3,0.64,323.0,0.798,1.0,1.0,0.005,0.987,1.0,0.913,1.0,0.05
9,Protein shake,"Soy protein isolate + Sunflower seeds, dried + Spirulina, dried",30 + 30 + 10,70,36.3,2.97,6.26,2.05,0.59,306.0,0.797,1.0,1.0,0.005,0.99,1.0,0.846,1.0,0.1
10,Protein shake,"Pea protein isolate + Hemp seeds, hulled + Spirulina, dried",30 + 30 + 10,70,37.7,3.2,6.72,2.34,0.59,309.0,0.797,1.0,1.0,0.005,0.989,1.0,0.841,1.0,0.1
11,Protein shake,"Soy protein isolate + Sunflower seeds, dried + Nutritional yeast",30 + 30 + 15,75,38.0,2.99,6.26,2.15,0.63,326.0,0.796,1.0,1.0,0.005,0.983,1.0,0.896,1.0,0.05
12,Protein shake,"Pea protein isolate + Hemp seeds, hulled + Nutritional yeast",30 + 30 + 15,75,39.5,3.22,6.72,2.44,0.62,330.0,0.796,1.0,1.0,0.005,0.983,1.0,0.891,1.0,0.05
13,Protein oatmeal,"Oats, raw + Soy protein isolate + Chia seeds, raw + Walnuts, English, raw",50 + 30 + 25 + 20,125,39.8,3.2,6.77,2.12,0.61,548.0,0.796,1.0,1.0,0.003,0.996,1.0,0.872,1.0,0.05
14,Protein shake,"Rice protein powder + Sunflower seeds, dried + Nutritional yeast",30 + 30 + 15,75,37.8,2.87,6.14,1.37,0.96,336.0,0.794,1.0,1.0,0.004,0.996,0.914,1.0,1.0,0.05
15,Soy + grain,"Tempeh + Quinoa, raw + Pumpkin seeds, dried",100 + 50 + 30,180,34.6,2.63,5.66,1.91,0.57,549.0,0.793,1.0,1.0,0.002,0.987,1.0,0.82,1.0,0.05
16,Protein shake,"Pea protein isolate + Pumpkin seeds, dried + Spirulina, dried",30 + 30 + 10,70,37.3,3.17,6.71,2.32,0.51,315.0,0.792,1.0,1.0,0.005,0.994,1.0,0.734,1.0,0.1
17,Protein shake,"Soy protein isolate + Chia seeds, raw + Spirulina, dried",30 + 25 + 10,65,34.1,2.82,5.92,1.99,0.52,252.0,0.792,1.0,1.0,0.006,0.988,1.0,0.746,1.0,0.1
18,Soy + grain,"Tempeh + Oats, raw + Pumpkin seeds, dried",100 + 50 + 30,180,36.0,2.85,6.17,1.9,0.57,560.0,0.792,1.0,1.0,0.003,0.982,1.0,0.82,1.0,0.05
19,Protein shake,"Pea protein isolate + Sunflower seeds, dried + Spirulina, dried",30 + 30 + 10,70,34.6,2.94,6.2,2.17,0.5,318.0,0.791,1.0,1.0,0.005,0.99,1.0,0.717,1.0,0.1
20,Protein oatmeal,"Oats, raw + Rice protein powder + Chia seeds, raw + Walnuts, English, raw",50 + 30 + 25 + 20,125,39.6,3.08,6.65,1.34,0.94,558.0,0.791,1.0,1.0,0.003,0.985,0.893,1.0,1.0,0.05
21,Soy + grain,"Tempeh + Amaranth, raw + Pumpkin seeds, dried",100 + 50 + 30,180,34.4,2.6,5.59,1.85,0.55,551.0,0.791,1.0,1.0,0.002,0.99,1.0,0.791,1.0,0.05
22,Protein shake,"Soy protein isolate + Chia seeds, raw + Nutritional yeast",30 + 25 + 15,70,35.8,2.84,5.92,2.09,0.56,273.0,0.791,1.0,1.0,0.005,0.981,1.0,0.796,1.0,0.05
23,Protein shake,"Pea protein isolate + Pumpkin seeds, dried + Nutritional yeast",30 + 30 + 15,75,39.1,3.19,6.71,2.42,0.55,336.0,0.791,1.0,1.0,0.005,0.988,1.0,0.784,1.0,0.05
24,Protein shake,"Soy protein isolate + Flaxseed, raw + Nutritional yeast",30 + 15 + 15,60,34.5,2.68,5.58,2.03,0.54,231.0,0.79,1.0,1.0,0.006,0.98,1.0,0.765,1.0,0.05
25,Protein shake,"Soy protein isolate + Flaxseed, raw + Spirulina, dried",30 + 15 + 10,55,32.7,2.66,5.58,1.93,0.5,210.0,0.79,1.0,1.0,0.006,0.987,1.0,0.715,1.0,0.1
26,Protein oatmeal,"Oats, raw + Pea protein isolate + Chia seeds, raw + Walnuts, English, raw",50 + 30 + 25 + 20,125,38.1,3.17,6.71,2.24,0.52,561.0,0.79,1.0,1.0,0.003,0.996,1.0,0.744,1.0,0.05
27,Protein shake,"Pea protein isolate + Sunflower seeds, dried + Nutritional yeast",30 + 30 + 15,75,36.3,2.96,6.2,2.27,0.54,339.0,0.79,1.0,1.0,0.004,0.984,1.0,0.767,1.0,0.05
28,Protein shake,"Rice protein powder + Chia seeds, raw + Nutritional yeast",30 + 25 + 15,70,35.6,2.72,5.8,1.31,0.89,282.0,0.79,1.0,1.0,0.005,0.998,0.873,1.0,1.0,0.05
29,Soy + grain,"Tempeh + Buckwheat, raw + Pumpkin seeds, dried",100 + 50 + 30,180,34.2,2.62,5.66,1.88,0.53,537.0,0.789,1.0,1.0,0.002,0.986,1.0,0.756,1.0,0.05
30,Protein shake,"Rice protein powder + Sunflower seeds, dried + Spirulina, dried",30 + 30 + 10,70,36.0,2.85,6.14,1.27,0.92,315.0,0.789,1.0,1.0,0.005,0.99,0.846,1.0,1.0,0.1
31,Soy + grain,"Tofu, firm, raw + Oats, raw + Pumpkin seeds, dried",100 + 50 + 30,180,33.3,2.64,5.73,1.74,0.53,511.0,0.789,1.0,1.0,0.003,0.979,1.0,0.763,1.0,0.05
32,Soy + grain,"Tempeh + Brown rice, raw + Pumpkin seeds, dried",100 + 50 + 30,180,31.5,2.52,5.42,1.72,0.51,550.0,0.788,1.0,1.0,0.002,0.988,1.0,0.727,1.0,0.05
