food,leucine_per_100g_protein_animal,bcaa_per_100g_protein_animal,lysine_per_100g_protein_animal,grams_for_leucine_threshold_animal,kcal_for_leucine_threshold_animal,mps_score_animal,mps_rank_animal
Whey protein isolate,12.22222222222222,25.77777777777778,10.88888888888889,22.727272727272727,84.09090909090908,2.5077530078344177,1
Casein protein,10.941176470588236,23.88235294117647,8.823529411764707,26.881720430107524,96.77419354838707,1.836042946611594,2
Egg white (dried),10.365853658536585,23.53658536585366,7.560975609756097,29.411764705882355,112.3529411764706,1.5492168238566548,3
Milk (whole),10.625,23.75,8.4375,735.2941176470588,448.52941176470586,1.5268711419384773,4
Cottage cheese (lowfat 2%),10.158730158730158,22.6984126984127,8.888888888888891,195.3125,164.0625,1.484247981700123,5
Greek yogurt (nonfat),9.908256880733946,22.20183486238532,8.715596330275229,231.4814814814815,136.57407407407408,1.3736003721002563,6
"Egg, whole (raw)",8.650793650793652,20.15873015873016,6.984126984126984,229.3577981651376,327.9816513761468,0.6264536659691644,8
Chicken breast (raw),7.965367965367966,18.181818181818183,8.917748917748918,135.8695652173913,153.5326086956522,0.48850031921430015,11
"Cod (Atlantic, raw)",8.0,17.833333333333336,9.11111111111111,173.61111111111111,142.36111111111111,0.48769486313228827,12
Turkey breast (raw),7.966804979253111,18.00829875518672,8.92116182572614,130.20833333333334,148.43750000000003,0.47699392421778974,13
