"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V2",0.951235657546337,1,0.347969056289415,0.659350672388437,8621,58,"MAP3K6,NOP2,PPRC1,FARSA,MYBBP1A,IPO4,DDX18,PES1,PHB1,PA2G4,PPAN,GNL3,NOP16,NOC4L,UTP20,RRP12,WDR74,NPM1,TCOF1,SRM,WDR43,GRWD1,CBX3,NOP56,EXOSC5"
"HALLMARK_APICAL_SURFACE",0.959183673469388,1,-0.28829251787767,-0.70231791736425,1174,44,"SRPX,THY1,MDGA1,PCSK9,BRCA1,CD160,CROCC,GSTM3,PKHD1,RHCG,RTN4RL1,IL2RB,SLC22A12,FLOT2,ADIPOR2,EPHB4"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.962015329125338,1,0.341677326531528,0.637002860075466,8534,49,"PFKP,MBP,GSR,ABCC1,NQO1,GPX4,GCLC,SCAF4,EGLN2,SRXN1,PRDX1,PRDX4,GPX3,CDKN2D,GCLM,SOD1,NDUFS2,PRDX6,TXNRD2,MSRA,PTPA"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.989010989010989,1,-0.279457129916954,-0.837222499472925,89,200,"CYP26B1,TBC1D30,CCN5,SLC1A1,RETREG1,P2RY2,PAPSS2,KCNK15,CISH,SLC16A1,AKAP1,CCND1,RHOD,PRSS23,KLF4,SEMA3B,KAZN,FHL2,PEX11A,TOB1,ABLIM1,TSKU,KLK10,MYBL1,RPS6KA2,CA12,GJA1,KRT13,LRIG1,SLC39A6,ESRP2,TIAM1,SOX3,PPIF,KCNK5,BAG1,TUBB2B,EGR3,SLC19A2,BCL2,JAK2,TMEM164,NAV2,ELOVL5,BCL11B,NRIP1,THSD4,MPPED2,MED13L,SCARB1,SIAH2,PDZK1,HES1,OLFM1,INHBB,MINDY1,DHCR7,NXT1,CHPT1,CANT1,BLVRB,FCMR"
"HALLMARK_NOTCH_SIGNALING",0.990053050397878,1,-0.246657726848707,-0.563100822732646,1492,32,"CCND1,MAML2,FZD5,WNT5A,NOTCH3,ST3GAL6,WNT2,HES1,LFNG"
"HALLMARK_TGF_BETA_SIGNALING",0.992521486773077,1,0.290652994537312,0.546558371177856,8891,54,"TGIF1,SMAD6,SMAD1,TJP1,SERPINE1,CDK9,TGFB1,ID2,WWTR1,BMP2,LEFTY2,NCOR2,TGFBR1,THBS1,CTNNB1"
"HALLMARK_HEDGEHOG_SIGNALING",0.997844827586207,1,-0.220799134969986,-0.514531560245729,1388,36,"THY1,CNTFR,SLIT1,RTN1,OPHN1,VEGFA,HEY1,ADGRG1,TLE3"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.998501391564975,1,0.275326005195728,0.532637333731175,9327,74,"CBS,TRIB3,SCD,LGALS3,MVK,FASN,NFIL3,TP53INP1,ATF3,CHKA,ACAT2,CTNNB1,LDLR,STX5,PMVK,CPEB2,ACTG1,CD9,GUSB,S100A11,ERRFI1,PPARG,PNRC1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.999274009541589,1,0.281813147263418,0.560107440561634,9634,113,"DDIT4,CHAC1,EIF4EBP1,ASNS,FUS,DCP2,PSAT1,ARFGAP1,NOP14,EIF4G1,XPOT,TARS1,EDC4,CKS1B,DDX10,TSPYL2,ATF3,EXOSC1,SDAD1,PARN,YWHAZ,EXOSC10,NFYA,EXOSC4,EXOSC2,NPM1,DCTN1,CXXC1,PREB,SEC31A,MTHFD2,EXOSC9,SHC1,SRPRA,EIF4A1,DNAJB9,CEBPB,ATF4,SLC7A5,TATDN2"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.999428702010969,1,0.236617209619307,0.435121469684233,8746,42,"FZD8,DLL1,PSEN2,CSNK1E,KAT2A,NCOR2,RBPJ,DVL2,CTNNB1,HEY2,PTCH1,NUMB,TP53,JAG2,DKK4,AXIN1,JAG1,LEF1"
