rank,archetype,foods,portions_g,total_weight_g,protein_g,leucine_g,bcaa_g,lysine_g,methionine_g,energy_kcal,meal_score,sub_leucine_score,sub_protein_score,sub_kcal_score,sub_ratio_score,sub_lysine_score,sub_methionine_score,sub_weight_score,sub_supplement_synergy
1,Protein shake,"Soy protein isolate + Hemp seeds, hulled + Spirulina, dried",30 + 30 + 10,70,39.4,3.23,6.78,2.22,0.68,296.0,0.803,1.0,1.0,0.005,0.988,1.0,0.97,1.0,0.1
13,Protein oatmeal,"Oats, raw + Soy protein isolate + Chia seeds, raw + Walnuts, English, raw",50 + 30 + 25 + 20,125,39.8,3.2,6.77,2.12,0.61,548.0,0.796,1.0,1.0,0.003,0.996,1.0,0.872,1.0,0.05
15,Soy + grain,"Tempeh + Quinoa, raw + Pumpkin seeds, dried",100 + 50 + 30,180,34.6,2.63,5.66,1.91,0.57,549.0,0.793,1.0,1.0,0.002,0.987,1.0,0.82,1.0,0.05
46,Legume + grain bowl,"Lentils, raw + Oats, raw + Hemp seeds, hulled",50 + 50 + 30,130,30.8,2.34,5.09,1.63,0.55,537.0,0.771,0.936,1.0,0.002,0.98,1.0,0.784,1.0,0.05
