rank,compound,z_promote_muscle_max,z_promote_muscle_median,n_signatures_dn,cell_lines_dn,protein_targets_dn,z_mimic_atrophy_max,z_mimic_atrophy_median,gmt_overlap_count,gmt_best_p,gmt_n_signatures,gmt_directions,gmt_overlapping_genes,anti_mimic_score,gmt_evidence,z_promote_norm,anti_mimic_norm,gmt_evidence_norm,reversal_score,compound_name,clinical_phase,moa,target,disease_area,indication
24,BRD-K55981249,3.586,3.586,1,HT29,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.3356063678006664,1.0546450570426453,-0.07709312585630698,0.9687780758418654,BRD-K55981249,,,,,
25,STK-674938,4.258,4.258,1,PC3,,3.3319,3.16555,0.0,1.0,0.0,,,0.2308455873865971,-0.0,2.5157219073993073,-0.9602705617707336,-0.07709312585630698,0.9543611599971722,STK-674938,,,,,
26,10-DEBC,4.2916,4.2916,1,A375,PIM1,4.1754,3.4477,0.0,1.0,0.0,,,0.193221779959037,-0.0,2.574727684379239,-1.0588317817050215,-0.07709312585630698,0.9542956825068516,10-DEBC,Preclinical,AKT inhibitor,PIM1,,
27,MEGXP0_000778,3.5673,3.5673,1,NEU,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.3027668431124306,1.0546450570426453,-0.07709312585630698,0.9523583134977476,MEGXP0_000778,,,,,
28,Methimazole,3.5544,3.5544,1,YAPC,TPO,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.2801128394504921,1.0546450570426453,-0.07709312585630698,0.9410313116667783,Methimazole,Launched,antithyroid agent,TPO,endocrinology,hyperthyroidism
29,BRD-K26663582,3.544,3.544,1,VCAP,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.2618491465757518,1.0546450570426453,-0.07709312585630698,0.9318994652294081,BRD-K26663582,,,,,
30,Diphenidol,3.5164,3.5164,1,PC3,CHRM1|CHRM3|CHRM4,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.2133801154850932,1.0546450570426453,-0.07709312585630698,0.9076649496840787,Diphenidol,Launched,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4,neurology/psychiatry,vertigo
31,Oxybutynin,4.1893,4.1893,1,PC3,CHRM1|CHRM2|CHRM3,3.2418,2.8131500000000003,0.0,1.0,0.0,,,0.23574897449196097,-0.0,2.395076166967125,-0.9474254020711146,-0.07709312585630698,0.8978918376909668,Oxybutynin,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,urology,urinary incontinence
32,BRD-K30611309,4.1451,4.1451,1,VCAP,,2.5279,2.5279,0.0,1.0,0.0,,,0.2834547464497293,-0.0,2.3174554722494762,-0.8224529603234902,-0.07709312585630698,0.8965732228564297,BRD-K30611309,,,,,
33,BRD-K82048228,3.4921,3.4921,1,PC3,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.1707062946335356,1.0546450570426453,-0.07709312585630698,0.8863280392583,BRD-K82048228,,,,,
34,BRD-K94412749,3.4767,3.4767,1,PC3,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.1436619801844,1.0546450570426453,-0.07709312585630698,0.8728058820337321,BRD-K94412749,,,,,
35,Androstenol,3.4441,3.4441,1,FIBRNPC,NR1I3,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.086412327519347,1.0546450570426453,-0.07709312585630698,0.8441810557012057,Androstenol,,,,,
36,BRD-K71195237,3.4438,3.4438,1,MCF7,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.085885490224883,1.0546450570426453,-0.07709312585630698,0.8439176370539736,BRD-K71195237,,,,,
37,SA-247582,3.4406,3.4406,1,NKDBA,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.0802658924172701,1.0546450570426453,-0.07709312585630698,0.8411078381501673,SA-247582,,,,,
38,AGK 2,4.12,4.12,1,SKL.C,SIRT2,3.2051,2.76855,0.0,1.0,0.0,,,0.23780647309219757,-0.0,2.273376751946015,-0.9420354751626575,-0.07709312585630698,0.8386591082529489,AGK 2,,,,,
39,BRD-K77629773,3.4342,3.4342,1,NEU,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.0690266968020454,1.0546450570426453,-0.07709312585630698,0.835488240342555,BRD-K77629773,,,,,
40,GSK 1059615,4.151,3.82285,2,"HS578T,MCF7",PIK3CA|PIK3CB|PIK3CD|PIK3CG,4.2043,2.8613999999999997,0.0,1.0,0.0,,,0.1921488000307438,-0.0,2.3278166057072616,-1.061642613939404,-0.07709312585630698,0.8299968935005482,GSK 1059615,,,,,
41,Ibrutinib (PCI-32765),3.4159,3.4159,1,PC3,BTK,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,1.036889621839761,1.0546450570426453,-0.07709312585630698,0.8194197028614127,Ibrutinib (PCI-32765),,,,,
42,CHEMBL2138369,3.394,3.394,1,A549,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.9984304993439125,1.0546450570426453,-0.07709312585630698,0.8001901416134884,CHEMBL2138369,,,,,
43,D-LACTITOL MONOHYDRATE,3.3842,3.3842,1,HELA,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.9812204810580986,1.0546450570426453,-0.07709312585630698,0.7915851324705815,D-LACTITOL MONOHYDRATE,,,,,
44,16Beta-bromoandrosterone,3.382,3.382,1,EFO27,G6PD,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.9773570075653653,1.0546450570426453,-0.07709312585630698,0.7896533957242149,16Beta-bromoandrosterone,,,,,
45,tioconazole,3.3666,3.3666,1,A375,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.9503126931162297,1.0546450570426453,-0.07709312585630698,0.776131238499647,tioconazole,Launched,sterol demethylase inhibitor,,infectious disease,yeast infection
46,Niacin,4.0156,4.0156,1,PHH,HCAR2|HCAR3,2.7724,2.7724,0.0,1.0,0.0,,,0.26508323613614676,-0.0,2.0900373734726547,-0.8705798935699023,-0.07709312585630698,0.7684260934940954,Niacin,Launched,NAD precursor|vitamin B,DGAT2|HCAR1|HCAR2|HCAR3|NNMT|QPRT,endocrinology,hypertriglyceridemia
47,Etizolam,3.3347,2.8785,2,"HA1E,HT29",,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.8942923274715922,1.0546450570426453,-0.07709312585630698,0.7481210556773283,Etizolam,Launched,benzodiazepine receptor agonist,GABRA1,neurology/psychiatry,insomnia|anxiety
48,TL_HRAS26,4.0495,3.3281,2,"A375,PC3",,3.9978,2.8449,0.0,1.0,0.0,,,0.2000880387370443,-0.0,2.1495699877470504,-1.040844584560025,-0.07709312585630698,0.7471129933342564,TL_HRAS26,,,,,
49,BRD-K21136828,3.3033,3.3033,1,HT29,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.8391500239843935,1.0546450570426453,-0.07709312585630698,0.720549903933729,BRD-K21136828,,,,,
50,AC1NWAO0,3.2975,3.2975,1,HA1E,ADRB2,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.8289645029580953,1.0546450570426453,-0.07709312585630698,0.7154571434205799,AC1NWAO0,,,,,
51,1135243-19-4,3.2963,3.2963,1,HCC515,CHRM1,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.8268571537802408,1.0546450570426453,-0.07709312585630698,0.7144034688316526,1135243-19-4,,,,,
52,N-Cyclooctyl-4-methylbenzenesulfonamide,3.2923,3.2923,1,HEPG2,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.8198326565207251,1.0546450570426453,-0.07709312585630698,0.7108912202018948,N-Cyclooctyl-4-methylbenzenesulfonamide,,,,,
53,BRD-K02576169,3.2487,3.2487,1,VCAP,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.7432656363920037,1.0546450570426453,-0.07709312585630698,0.6726077101375341,BRD-K02576169,,,,,
54,SA-1459031,3.2402,3.2402,1,MCF7,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.7283385797155333,1.0546450570426453,-0.07709312585630698,0.6651441817992989,SA-1459031,,,,,
55,Verapamil,3.9061,3.9061,1,HA1E,CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1S,3.0074,3.0074,0.0,1.0,0.0,,,0.24953835404501667,-0.0,1.8977417609934117,-0.9113020492312174,-0.07709312585630698,0.6600616405560793,Verapamil,Launched,calcium channel blocker,CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1I|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CYP3A4|KCNA10|KCNA7|KCNH2|KCNJ11|NALCN|SCN5A|SLC29A4|SLC6A4,cardiology,hypertension
56,BRD-K38044934,3.2131,3.2131,1,VCAP,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.6807476107823137,1.0546450570426453,-0.07709312585630698,0.6413486973326891,BRD-K38044934,,,,,
57,BRD-K08266813,3.2047,3.2047,1,A549,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.6659961665373307,1.0546450570426453,-0.07709312585630698,0.6339729752101976,BRD-K08266813,,,,,
58,BRD-K84039354,3.2028,3.2028,1,VCAP,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.6626595303390608,1.0546450570426453,-0.07709312585630698,0.6323046571110627,BRD-K84039354,,,,,
59,BRD-K11480730,3.2007,3.2007,1,VCAP,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.658971669277815,1.0546450570426453,-0.07709312585630698,0.6304607265804397,BRD-K11480730,,,,,
60,CHEMBL2333346,3.8412,3.8412,1,MCF7,,2.7112,2.7112,0.0,1.0,0.0,,,0.2694546238413451,-0.0,1.7837692929577698,-0.859128386280013,-0.07709312585630698,0.6187275054236197,CHEMBL2333346,,,,,
61,Concneorine,3.1864,3.1864,1,A549,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.6338590915750464,1.0546450570426453,-0.07709312585630698,0.6179044377290555,Concneorine,,,,,
62,Topiramate,3.1796,3.1796,1,HELA,CA2|CA4|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA1|GRIA2|GRIA3|GRIA4|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.6219174462338701,1.0546450570426453,-0.07709312585630698,0.6119336150584673,Topiramate,Launched,carbonic anhydrase inhibitor|glutamate receptor antagonist|kainate receptor antagonist,CA1|CA12|CA2|CA4|CA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA1|GRIA2|GRIA3|GRIA4|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,epilepsy|migraine headache
63,ZINC01037816,3.1703,3.1703,1,NEU,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.605585490105496,1.0546450570426453,-0.07709312585630698,0.6037676369942802,ZINC01037816,,,,,
64,BRD-K23488072,3.1695,3.1695,1,PC3,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.604180590653593,1.0546450570426453,-0.07709312585630698,0.6030651872683287,BRD-K23488072,,,,,
65,Iloprost,3.8004,3.1727999999999996,2,"ASC,HL60",PTGER1|PTGER2|PTGIR,2.4335,2.4335,0.0,1.0,0.0,,,0.291247997670016,-0.0,1.7121194209107087,-0.8020373671115395,-0.07709312585630698,0.6000298751506311,Iloprost,Launched,platelet aggregation inhibitor|prostanoid receptor agonist,PTGDR|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|PTGIR|TBXA2R,pulmonary,pulmonary arterial hypertension (PAH)
66,Levonorgestrel,3.7781,3.7781,1,MCF7,PGR,2.3454,2.3454,0.0,1.0,0.0,,,0.29891791713995336,-0.0,1.6729578486889085,-0.7819448599613721,-0.07709312585630698,0.5864768411847813,Levonorgestrel,Launched,estrogen receptor agonist|glucocorticoid receptor antagonist|progesterone receptor agonist|progesterone receptor antagonist,PGR,endocrinology,contraceptive
67,BRD-K69073546,3.1468,3.1468,1,VCAP,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.5643165687058406,1.0546450570426453,-0.07709312585630698,0.5831331762944525,BRD-K69073546,,,,,
68,"VX-222 (VCH-222, Lomibuvir)",3.781,3.781,1,HT29,,2.5045,2.41995,0.0,1.0,0.0,,,0.28534741047224993,-0.0,1.6780506092020582,-0.8174948423726546,-0.07709312585630698,0.5783582267179714,"VX-222 (VCH-222, Lomibuvir)",,,,,
69,Valproic acid,3.1288,2.86705,2,"PC3,YAPC",ABAT|ALDH5A1|HDAC1|SCN1A|SCN3A,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.5327063310380202,1.0546450570426453,-0.07709312585630698,0.5673280574605424,Valproic acid,,,,,
70,SR59230A,3.1279,3.1279,1,NEU,ADRB3,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.531125819154629,1.0546450570426453,-0.07709312585630698,0.5665378015188467,SR59230A,,,,,
71,SCH-23390,3.0886,3.0886,1,VCAP,DRD1|DRD5|HTR2C,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.4621101335798873,1.0546450570426453,-0.07709312585630698,0.5320299587314758,SCH-23390,Preclinical,dopamine receptor antagonist,DRD1|DRD5|HTR2C|KCNJ4|KCNJ6,,
72,Broad-Sai-424,3.0881,3.0881,1,A375,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.4612320714224475,1.0546450570426453,-0.07709312585630698,0.531590927652756,Broad-Sai-424,,,,,
73,FPL64176,3.0877,3.0877,1,VCAP,CACNA1C,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.460529621696496,1.0546450570426453,-0.07709312585630698,0.5312397027897802,FPL64176,,,,,
74,AB00540134,3.0804,3.07715,2,"A549,NPC",,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.4477099141978801,1.0546450570426453,-0.07709312585630698,0.5248298490404723,AB00540134,,,,,
75,Azelastine,3.0799,3.0799,1,HA1E,HRH1,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.4468318520404403,1.0546450570426453,-0.07709312585630698,0.5243908179617524,Azelastine,Launched,histamine receptor antagonist,HRH1,ophthalmology,conjunctivitis
76,BRD-K47170156,3.0721,3.0721,1,PC3,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.4331340823843846,1.0546450570426453,-0.07709312585630698,0.5175419331337245,BRD-K47170156,,,,,
77,Amiodarone,3.7912,3.7912,1,PL21,KCNH2,4.1731,2.99655,0.0,1.0,0.0,,,0.19330768784674568,-0.0,1.6959630772138228,-1.0586067330777436,-0.07709312585630698,0.514980893512327,Amiodarone,Launched,potassium channel blocker,ADRB1|CACNA1H|CACNA2D2|KCNA7|KCNH2,cardiology,ventricular arrhythmias
78,CHEMBL198368,3.0656,3.0656,1,NPC,SLC1A2,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.42171927433767165,1.0546450570426453,-0.07709312585630698,0.5118345291103681,CHEMBL198368,,,,,
79,SCHEMBL3958507,3.7319,3.1006,2,"MCF10A,MDAMB231",COQ8B|EGFR,3.0563,2.6567,0.0,1.0,0.0,,,0.24653008899736212,-0.0,1.5918249053415023,-0.919182651787282,-0.07709312585630698,0.5047390319633052,SCHEMBL3958507,,,,,
80,Lidocaine,3.0543,3.0543,1,HT29,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.40187506957954,1.0546450570426453,-0.07709312585630698,0.5019124267313022,Lidocaine,Launched,histamine receptor agonist,EGFR|SCN10A|SCN5A|SCN9A,neurology/psychiatry|dermatology|hematology,itching|eczema|hemorrhage
81,BAY-117821,3.0501,3.0501,1,DV90,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.3944993474570485,1.0546450570426453,-0.07709312585630698,0.4982245656700564,BAY-117821,,,,,
82,Moxisylyte,3.0468,3.0086500000000003,2,"HT29,PC3",,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.38870413721794833,1.0546450570426453,-0.07709312585630698,0.49532696055050635,Moxisylyte,Withdrawn,adrenergic receptor antagonist,,,
83,MLS002699818,3.04,3.04,1,A375,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.37676249187677135,1.0546450570426453,-0.07709312585630698,0.4893561378799178,MLS002699818,,,,,
84,"Trans-1,4-bis(2-chlorobenzaminomethyl)cyclohexane dihydrochloride",3.0382,3.0382,1,SKB,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.37360146810998884,1.0546450570426453,-0.07709312585630698,0.48777562599652663,"Trans-1,4-bis(2-chlorobenzaminomethyl)cyclohexane dihydrochloride",,,,,
85,Dasatinib,3.0421,2.62035,6,"HME1,PC3,SKL",ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1,4.3722,2.8731,1.0,0.7735329960557833,1.0,drug_down_reverses_query_up,"B,C,S",0.18614347939391682,0.1115211561736448,0.3804503529380171,-1.0773744541898047,3.0603398027204842,0.479080800756164,Dasatinib,Launched,Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|SRC inhibitor|tyrosine kinase inhibitor,ABL1|ABL2|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|STAT5B|YES1,hematologic malignancy,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)
86,Batimastat,3.713,3.713,1,HELA,,3.284,2.52395,0.0,1.0,0.0,,,0.2334267040149393,-0.0,1.5586341557902907,-0.9535089387167166,-0.07709312585630698,0.477845771108869,Batimastat,Phase 3,matrix metalloprotease inhibitor,ADAM28|ADAMTS5|MMP12|MMP16|MMP2|MMP8,,
87,Clioquinol,3.7543,3.7543,1,PC3,,4.6403,2.91105,0.0,1.0,0.0,,,0.17729553392550043,-0.0,1.6311620899947907,-1.1005529775478733,-0.07709312585630698,0.469996526561772,Clioquinol,Withdrawn,chelating agent,OPRK1,,
88,LM-1685,3.0147,3.0147,1,NEU,PTGS2,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.33233254671033424,1.0546450570426453,-0.07709312585630698,0.4671411652966993,LM-1685,,,,,
89,Rescinnamine,2.9971,2.9971,1,SKB,ACE|SLC18A2,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.30142475876846536,1.0546450570426453,-0.07709312585630698,0.45168727132576486,Rescinnamine,,,,,
90,BRD-K13185593,2.9954,2.9954,1,VCAP,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.29843934743317113,1.0546450570426453,-0.07709312585630698,0.4501945656581177,BRD-K13185593,,,,,
91,BRD-K52160314,2.9851,2.9851,1,A375,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.28035126698991825,1.0546450570426453,-0.07709312585630698,0.4411505254364913,BRD-K52160314,,,,,
92,BRD-K88217904,2.98,2.98,1,HA1E,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.2713950329840355,1.0546450570426453,-0.07709312585630698,0.4366724084335499,BRD-K88217904,,,,,
93,CHEMBL2152380,2.9775,2.9775,1,HA1E,,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.26700472219683824,1.0546450570426453,-0.07709312585630698,0.43447725303995127,CHEMBL2152380,,,,,
94,Zamifenacin,2.9686,2.9686,1,HT29,CHRM3,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.2513752157944156,1.0546450570426453,-0.07709312585630698,0.42666249983873994,Zamifenacin,Phase 3,acetylcholine receptor antagonist,CHRM3,,
95,HSCI1_000191,2.9539,2.9539,1,SKB,JAK3,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.2255601883656954,1.0546450570426453,-0.07709312585630698,0.41375498612437983,HSCI1_000191,,,,,
96,Gefitinib,2.6676,2.4313,3,"LNCAP,PC3,PHH",EGFR,3.6979,2.903,2.0,0.7012488400236921,1.0,drug_down_reverses_query_up,",,2,8,A,D,F,H,P,S,W,Z",0.2128610655824943,0.15412784412683572,-0.2772182029841416,-1.007383720436561,4.258996903744407,0.41097516312584237,Gefitinib,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC)
97,Ibuprofen,2.9487,2.9487,1,HA1E,PTGS1|PTGS2,0.0,0.0,0.0,1.0,0.0,,,1.0,-0.0,0.21642834192832522,1.0546450570426453,-0.07709312585630698,0.40918906290569473,Ibuprofen,Launched,cyclooxygenase inhibitor,,neurology/psychiatry|rheumatology|otolaryngology|obstetrics/gynecology|endocrinology|dental,headache|muscle pain|rheumatoid arthritis|backache|common cold|menstrual pain|fever|toothache
