food,category,protein_g,leucine_g,isoleucine_g,valine_g,lysine_g,threonine_g,phenylalanine_g,methionine_g,tryptophan_g,histidine_g,arginine_g,glutamic_acid_g,glycine_g,cystine_g,tyrosine_g,energy_kcal,bcaa_total_g,bcaa_ratio_leu,leucine_per_100g_protein,bcaa_per_100g_protein,lysine_per_100g_protein,grams_for_leucine_threshold,kcal_for_leucine_threshold
"Pinto beans, raw",Legume,21.4,1.58,0.85,0.96,1.46,0.84,1.07,0.33,0.24,0.59,1.33,3.28,0.83,0.25,0.59,347,3.39,0.46607669616519176,7.383177570093459,15.841121495327105,6.822429906542056,158.22784810126583,549.0506329113924
"Pistachios, raw",Nut,20.6,1.54,0.83,0.97,0.72,0.73,1.02,0.24,0.2,0.49,1.82,3.5,0.97,0.24,0.57,560,3.34,0.46107784431137727,7.475728155339806,16.213592233009706,3.4951456310679605,162.33766233766232,909.090909090909
Tempeh,Legume,18.5,1.48,0.79,0.88,1.18,0.77,0.99,0.26,0.26,0.48,1.37,3.3,0.79,0.27,0.69,193,3.15,0.46984126984126984,8.0,17.027027027027025,6.378378378378378,168.91891891891893,326.01351351351354
"Almonds, raw",Nut,21.2,1.47,0.8,0.95,0.58,0.69,1.12,0.18,0.21,0.52,2.44,4.96,1.26,0.27,0.63,579,3.2199999999999998,0.4565217391304348,6.933962264150943,15.188679245283017,2.735849056603773,170.06802721088437,984.6938775510204
"Chickpeas, raw",Legume,19.3,1.42,0.77,0.86,1.35,0.77,1.03,0.26,0.19,0.53,1.65,3.61,0.82,0.28,0.57,364,3.05,0.46557377049180326,7.357512953367876,15.803108808290153,6.994818652849741,176.05633802816902,640.8450704225352
"Chia seeds, raw",Seed,16.5,1.37,0.72,0.87,0.62,0.64,0.9,0.31,0.27,0.41,1.78,3.24,0.88,0.31,0.49,486,2.96,0.4628378378378379,8.303030303030305,17.939393939393938,3.7575757575757573,182.4817518248175,886.861313868613
"Sesame seeds, dried",Seed,17.7,1.36,0.73,0.92,0.55,0.69,0.94,0.59,0.37,0.45,2.63,3.55,0.93,0.38,0.72,573,3.01,0.451827242524917,7.68361581920904,17.005649717514125,3.107344632768362,183.8235294117647,1053.3088235294117
"Oats, raw",Grain,16.9,1.28,0.69,0.91,0.7,0.67,0.95,0.31,0.23,0.34,1.23,3.71,0.84,0.41,0.57,389,2.88,0.4444444444444445,7.5739644970414215,17.041420118343193,4.142011834319527,195.3125,759.765625
"Tofu, firm, raw",Legume,15.8,1.27,0.68,0.76,1.02,0.66,0.85,0.22,0.23,0.41,1.18,2.84,0.68,0.24,0.59,144,2.71,0.4686346863468635,8.037974683544304,17.151898734177216,6.455696202531645,196.8503937007874,283.46456692913387
"Cashews, raw",Nut,18.2,1.27,0.69,0.83,0.63,0.64,0.95,0.26,0.18,0.43,1.79,3.3,0.86,0.26,0.54,553,2.79,0.4551971326164875,6.978021978021978,15.32967032967033,3.4615384615384617,196.8503937007874,1088.5826771653544
"Flaxseed, raw",Seed,18.3,1.22,0.66,0.78,0.62,0.62,0.82,0.37,0.22,0.36,2.0,3.4,0.88,0.34,0.46,534,2.66,0.45864661654135336,6.666666666666667,14.535519125683061,3.3879781420765025,204.91803278688522,1094.262295081967
"Brazil nuts, raw",Nut,14.3,1.17,0.59,0.76,0.43,0.5,0.72,0.31,0.14,0.33,2.15,2.78,0.77,0.31,0.43,656,2.5199999999999996,0.46428571428571436,8.18181818181818,17.62237762237762,3.0069930069930066,213.67521367521368,1401.7094017094018
"Walnuts, English, raw",Nut,15.2,1.17,0.63,0.75,0.42,0.6,0.71,0.24,0.17,0.39,2.28,2.78,0.82,0.22,0.41,654,2.55,0.4588235294117647,7.697368421052632,16.776315789473685,2.763157894736842,213.67521367521368,1397.4358974358975
"Corn, yellow, raw",Grain,9.4,1.13,0.37,0.48,0.27,0.36,0.45,0.2,0.07,0.27,0.44,1.77,0.37,0.16,0.35,361,1.98,0.5707070707070706,12.021276595744679,21.06382978723404,2.872340425531915,221.23893805309737,798.6725663716815
"Spelt, raw",Grain,14.6,1.04,0.55,0.73,0.52,0.55,0.78,0.29,0.2,0.33,0.87,3.06,0.75,0.36,0.49,338,2.3200000000000003,0.44827586206896547,7.123287671232877,15.890410958904111,3.5616438356164384,240.3846153846154,812.5
"Edamame, raw",Legume,11.9,0.97,0.51,0.57,0.77,0.5,0.65,0.17,0.17,0.31,0.89,2.14,0.52,0.18,0.46,121,2.05,0.4731707317073171,8.15126050420168,17.226890756302517,6.470588235294119,257.7319587628866,311.8556701030928
"Quinoa, raw",Grain,14.1,0.84,0.47,0.55,0.73,0.42,0.59,0.31,0.17,0.33,1.09,2.38,0.68,0.27,0.38,368,1.86,0.4516129032258064,5.957446808510639,13.19148936170213,5.177304964539007,297.61904761904765,1095.2380952380954
"Buckwheat, raw",Grain,13.3,0.83,0.44,0.58,0.67,0.5,0.54,0.22,0.19,0.3,0.98,2.45,0.69,0.3,0.38,343,1.85,0.4486486486486486,6.240601503759398,13.909774436090224,5.037593984962406,301.20481927710847,1033.1325301204822
"Amaranth, raw",Grain,13.6,0.79,0.43,0.5,0.61,0.42,0.55,0.27,0.18,0.29,1.03,2.55,0.69,0.23,0.38,371,1.72,0.4593023255813954,5.8088235294117645,12.647058823529411,4.485294117647059,316.45569620253167,1174.0506329113925
"Tofu, regular, raw",Legume,8.1,0.65,0.35,0.39,0.52,0.34,0.44,0.11,0.12,0.21,0.6,1.45,0.35,0.12,0.3,76,1.3900000000000001,0.4676258992805755,8.024691358024691,17.160493827160497,6.419753086419753,384.6153846153846,292.30769230769226
"Brown rice, raw",Grain,7.9,0.62,0.33,0.43,0.34,0.32,0.42,0.18,0.1,0.19,0.6,1.56,0.41,0.17,0.3,370,1.38,0.44927536231884063,7.848101265822785,17.468354430379744,4.30379746835443,403.2258064516129,1491.9354838709678
