food,category,protein_g,leucine_g,isoleucine_g,valine_g,lysine_g,threonine_g,phenylalanine_g,methionine_g,tryptophan_g,histidine_g,arginine_g,glutamic_acid_g,glycine_g,cystine_g,tyrosine_g,energy_kcal,bcaa_total_g,bcaa_ratio_leu,leucine_per_100g_protein,bcaa_per_100g_protein,lysine_per_100g_protein,grams_for_leucine_threshold,kcal_for_leucine_threshold
Soy protein isolate,Legume,80.7,6.6,3.4,3.6,5.1,3.3,4.2,1.1,1.0,2.1,7.0,16.0,3.6,1.0,2.9,338,13.6,0.4852941176470588,8.178438661710038,16.852540272614622,6.319702602230483,37.878787878787875,128.03030303030303
Pea protein isolate,Other,75.0,6.5,3.3,3.6,5.5,2.8,3.8,0.8,0.7,1.8,6.5,10.5,2.8,0.8,2.5,380,13.4,0.48507462686567165,8.666666666666668,17.866666666666667,7.333333333333333,38.46153846153847,146.15384615384616
Rice protein powder,Other,80.0,6.2,3.2,3.8,2.5,2.8,4.0,2.2,0.9,1.5,5.5,12.0,3.5,1.5,3.0,370,13.2,0.4696969696969697,7.75,16.499999999999996,3.125,40.32258064516129,149.19354838709677
"Spirulina, dried",Other,57.5,4.97,2.85,3.2,3.03,2.87,2.78,1.15,0.93,1.08,3.85,8.38,3.08,0.57,2.58,290,11.02,0.45099818511796735,8.643478260869566,19.16521739130435,5.269565217391304,50.30181086519116,145.87525150905435
"Soy flour, defatted",Legume,47.0,3.9,2.0,2.1,3.0,1.9,2.5,0.7,0.6,1.2,4.0,9.3,2.1,0.6,1.7,329,8.0,0.4875,8.297872340425531,17.02127659574468,6.382978723404255,64.1025641025641,210.8974358974359
Hemp protein powder,Other,50.0,3.8,2.0,2.4,2.0,2.0,2.5,1.2,0.6,1.1,6.3,10.5,2.5,0.9,1.4,400,8.2,0.4634146341463415,7.6,16.4,4.0,65.78947368421053,263.15789473684214
Nutritional yeast,Other,50.0,3.45,1.8,2.1,2.7,2.1,2.0,1.0,0.4,1.0,2.4,6.5,2.1,0.5,1.5,332,7.35,0.46938775510204084,6.9,14.7,5.4,72.46376811594203,240.57971014492756
"Soybeans, mature, raw",Legume,36.5,2.97,1.57,1.76,2.35,1.53,1.99,0.52,0.53,0.95,2.74,6.56,1.58,0.55,1.39,446,6.3,0.4714285714285715,8.136986301369864,17.26027397260274,6.438356164383562,84.17508417508417,375.4208754208754
"Hemp seeds, hulled",Seed,31.6,2.5,1.28,1.55,1.28,1.28,1.62,0.78,0.37,0.72,3.98,6.62,1.6,0.58,0.88,553,5.33,0.46904315196998125,7.911392405063291,16.867088607594933,4.050632911392405,100.0,553.0
"Pumpkin seeds, dried",Seed,30.2,2.42,1.28,1.58,1.23,1.02,1.73,0.53,0.57,0.63,3.31,5.28,1.56,0.4,1.02,574,5.28,0.4583333333333333,8.013245033112582,17.483443708609272,4.072847682119205,103.30578512396696,592.9752066115703
"Lentils, raw",Legume,25.8,1.9,1.03,1.17,1.8,1.02,1.24,0.32,0.25,0.68,1.85,4.35,1.05,0.26,0.69,353,4.1,0.4634146341463415,7.364341085271317,15.891472868217052,6.976744186046512,131.57894736842107,464.4736842105264
"Mung beans, raw",Legume,23.9,1.84,0.98,1.12,1.66,0.93,1.18,0.34,0.26,0.64,1.65,4.0,0.93,0.27,0.66,347,3.9400000000000004,0.46700507614213194,7.698744769874477,16.485355648535567,6.94560669456067,135.8695652173913,471.4673913043478
"Split peas, raw",Legume,24.6,1.82,0.98,1.11,1.72,0.96,1.19,0.31,0.24,0.66,1.77,4.17,1.01,0.25,0.66,342,3.91,0.46547314578005117,7.398373983739837,15.894308943089431,6.991869918699186,137.36263736263737,469.7802197802198
"Kidney beans, raw",Legume,23.6,1.74,0.93,1.05,1.59,0.92,1.17,0.35,0.27,0.63,1.45,3.7,0.91,0.27,0.65,333,3.7199999999999998,0.467741935483871,7.372881355932202,15.762711864406779,6.73728813559322,143.67816091954023,478.448275862069
"Wheat germ, raw",Grain,23.2,1.67,0.87,1.12,1.17,1.03,1.01,0.46,0.31,0.59,1.86,4.0,1.26,0.46,0.7,360,3.66,0.45628415300546443,7.198275862068966,15.775862068965518,5.043103448275862,149.7005988023952,538.9221556886228
"Peanuts, raw",Legume,25.8,1.67,0.91,1.08,0.93,0.88,1.34,0.32,0.25,0.65,3.09,5.24,1.55,0.33,1.05,567,3.66,0.45628415300546443,6.4728682170542635,14.186046511627906,3.604651162790698,149.7005988023952,848.8023952095808
"Sunflower seeds, dried",Seed,21.0,1.65,0.88,1.05,0.72,0.82,1.1,0.49,0.3,0.51,1.93,3.81,1.12,0.41,0.65,584,3.58,0.46089385474860334,7.857142857142857,17.047619047619047,3.428571428571429,151.5151515151515,884.8484848484848
"Navy beans, raw",Legume,22.3,1.65,0.89,1.0,1.52,0.87,1.11,0.34,0.25,0.61,1.39,3.42,0.86,0.26,0.61,337,3.54,0.4661016949152542,7.399103139013452,15.874439461883409,6.816143497757847,151.5151515151515,510.60606060606057
"Peanut butter, smooth",Legume,25.1,1.62,0.88,1.05,0.9,0.85,1.3,0.31,0.24,0.63,3.0,5.09,1.51,0.32,1.02,588,3.55,0.45633802816901414,6.454183266932271,14.143426294820715,3.5856573705179278,154.320987654321,907.4074074074074
"Black beans, raw",Legume,21.6,1.6,0.86,0.97,1.47,0.85,1.08,0.33,0.25,0.6,1.35,3.3,0.84,0.25,0.6,341,3.4299999999999997,0.4664723032069972,7.4074074074074066,15.879629629629626,6.805555555555555,156.25,532.8125
