"gene","combined_log2FC","combined_se","combined_pvalue","n_studies","I2","combined_padj","direction"
"CEROX1",1.02616700815576,0.145860005022642,1.98851162932764e-12,3,0,6.51635260930666e-08,"up"
"APOBEC3A",0.170363240019358,0.0263326615458428,9.82268129293907e-11,2,0,1.74576841335527e-07,"up"
"DEFA1",-0.235076923076923,0.036350502718466,1e-10,1,NA,1.74576841335527e-07,"down"
"DEFA1B",-0.268494823571364,0.0406683367971549,4.05481716408848e-11,3,0,1.74576841335527e-07,"down"
"DEFA3",-0.167797230494994,0.0259537283642447,1.01134352732603e-10,2,0,1.74576841335527e-07,"down"
"GLRX5",-0.242550417848458,0.0360658299254422,1.75334776660839e-11,6,0,1.74576841335527e-07,"down"
"HBA1",-0.283341857845118,0.0437016479451381,8.95886482837165e-11,3,0,1.74576841335527e-07,"down"
"HBB",-0.222845220551679,0.0344688528116362,1.01219407548826e-10,5,0,1.74576841335527e-07,"down"
"HBM",-0.442281633519075,0.0674458604728701,5.46879317356775e-11,3,0,1.74576841335527e-07,"down"
"HBQ1",-0.396207177707833,0.0608794734082325,7.61282461269264e-11,4,0,1.74576841335527e-07,"down"
"IGFL2-AS1",3.77878522096272,0.584322530043311,1e-10,1,NA,1.74576841335527e-07,"up"
"MINAR1",-1.23717181975769,0.191307165946935,1.00007832334901e-10,2,0,1.74576841335527e-07,"down"
"MT-ND2",1.4683498162027,0.227054418132186,1e-10,1,NA,1.74576841335527e-07,"up"
"ND3",-0.0343485330208401,0.00527880653829263,7.67303301242313e-11,3,0,1.74576841335527e-07,"down"
"RNA5-8SN1",-0.0970891308952037,0.0149830599595308,9.17671638763575e-11,2,0,1.74576841335527e-07,"down"
"RNA5-8SP10",-0.108815297114406,0.0167892836403422,9.09746870407311e-11,2,0,1.74576841335527e-07,"down"
"SHISA7",-0.0288327452571649,0.0044219447055981,7.01310338654078e-11,3,0,1.74576841335527e-07,"down"
"SNHG32",1.01541148564733,0.157015488744111,1e-10,1,NA,1.74576841335527e-07,"up"
"SYNE1",0.402100422846286,0.0620512007879548,9.16379939490342e-11,9,0,1.74576841335527e-07,"up"
"PODNL1",2.22170787612491,0.347016038718295,1.53033060888627e-10,2,0,2.50744670266015e-07,"up"
"MT-ND4L",1.46511219697629,0.230132285224668,1.93527236148424e-10,1,NA,3.01994644218279e-07,"up"
"SLC14A1",-0.14609137231312,0.0236455960007933,6.47645083062054e-10,9,0,9.64696789633796e-07,"down"
"NUDT4B",-0.850927459251807,0.137903938866513,6.81018426160004e-10,2,0,9.70303209794058e-07,"down"
