"gene","combined_log2FC","combined_se","combined_pvalue","n_studies","I2","combined_padj","direction"
"MT-ND1",1.47821679211274,0.241629239672539,9.49316486989808e-10,1,NA,1.27748978231894e-06,"up"
"MT-ND4",1.39174964830005,0.227651215357552,9.74587871772157e-10,1,NA,1.27748978231894e-06,"up"
"MARCHF8",-0.150450292403657,0.0250089841569703,1.78945433807723e-09,2,0,2.2554007176458e-06,"down"
"MT-CO2",1.43047308629828,0.240601514125701,2.7577666329394e-09,1,NA,3.32078420352937e-06,"up"
"MT-ND3",1.36661271396724,0.230040884217218,2.83741097646696e-09,1,NA,3.32078420352937e-06,"up"
"MT-ND5",1.31575519173546,0.222676642724425,3.44576417158427e-09,1,NA,3.89371351389023e-06,"up"
"MT-ATP8",1.58646648609446,0.268994925541208,3.68477900427525e-09,1,NA,4.02500693233666e-06,"up"
"PFDN6",0.791941890320163,0.134975971444956,4.43000782882071e-09,2,0,4.68294698549854e-06,"up"
"MT-ND6",1.23433886394821,0.211410576908381,5.26456623479906e-09,1,NA,5.39124485982391e-06,"up"
"RPS2P55",-0.159603595707169,0.0276533835421495,7.85336764472527e-09,2,0,7.79863205204991e-06,"down"
"MT-CYB",1.27909878783265,0.223129358660676,9.89355629340724e-09,1,NA,9.26319542099872e-06,"up"
"RNA5-8SN3",-0.104083930152024,0.0181519501753326,9.80686811482953e-09,2,0,9.26319542099872e-06,"down"
"RPL3P4",-0.132343561290253,0.023111276240308,1.02606441259515e-08,2,0,9.34003633353977e-06,"down"
"FAT1",0.538479069511367,0.0941880735987566,1.08381492246098e-08,4,0,9.59908513758012e-06,"up"
"OR2W3",-0.166487412547215,0.0299227352245813,2.63795690832588e-08,5,0,2.27489073383787e-05,"down"
"CBS",1.08648401139686,0.195838463891141,2.89190399816569e-08,2,0,2.42994087230486e-05,"up"
"FDX2",0.648951699098389,0.118505408694872,4.34714372555904e-08,1,NA,3.56139749716424e-05,"up"
"MT-CO3",1.26376946354442,0.232793314254243,5.6760001144477e-08,1,NA,4.53664692074271e-05,"up"
"FBXL5",0.0881762499656818,0.0163406965370851,6.80999517014394e-08,5,0,5.31341766013373e-05,"up"
"MT-CO1",1.16608068742029,0.217076252042903,7.79735150755015e-08,1,NA,5.94230718377717e-05,"up"
"INMT",0.731724895538355,0.136778763904655,8.81017802835809e-08,5,0,6.56158031793851e-05,"up"
"LMCD1",-0.51154723053107,0.0963413960582383,1.09785069875017e-07,9,0,7.99479275512067e-05,"down"
"PIMREG",0.540105936334021,0.102176862009073,1.25026285924136e-07,3,0,8.90676389072597e-05,"up"
"BCYRN1",-1.57732749418516,0.299785832184514,1.42873642044556e-07,1,NA,9.96163670170234e-05,"down"
"EIF4EBP3",0.732299433493264,0.139333970426865,1.47451660133396e-07,3,0,0.000100666477136904,"up"
"LUC7L3",0.122628648130611,0.0233516300955633,1.50951062275712e-07,9,0,0.000100952373689287,"up"
"ATG16L2",0.12893348200698,0.0246617281578609,1.71279616854658e-07,5,0,0.000110055549888767,"up"
"VCF1",-0.159846153846154,0.0305556970084968,1.68318026039777e-07,1,NA,0.000110055549888767,"down"
"RPL10P16",-0.110153319087652,0.0211267898102737,1.84894668057046e-07,2,0,0.000116519197542873,"down"
"WASH2P",0.772582051481025,0.148854965872269,2.10106163559006e-07,2,0,0.000129909037355257,"up"
"NOVA2",0.0529299558168231,0.010240305057388,2.35618225559749e-07,3,0,0.000142985356510981,"up"
"XPO6",0.0477189088307727,0.00931293232953948,2.99215832883025e-07,9,0,0.000178278233519577,"up"
"LOC107984948",-0.136,0.0266051512692376,3.19117046771235e-07,1,NA,0.000186740457548096,"down"
"PRRG4",0.000384570239426311,7.58576399301074e-05,3.98587813213221e-07,6,0,0.000229153028754338,"up"
"TCAF2",-1.30880840852739,0.25891808194846,4.30586745249221e-07,2,0,0.00024328151106581,"down"
"RAB2B",-0.141650314339803,0.0281654653104306,4.92479730267197e-07,9,0,0.000273534928150102,"down"
"KPRP",-3.86013351385867,0.768757252998306,5.13324103274033e-07,2,0,0.000280360514404834,"down"
"EMCN-IT1",5.67369169503058,1.13333228822959,5.55141614218919e-07,1,NA,0.000298229355704164,"up"
"LINC01474",-2.5822220960247,0.521064447858051,7.20824317906758e-07,1,NA,0.000380990530609749,"down"
"MTRNR2L12",1.30434041801018,0.264679349697392,8.30746814288856e-07,1,NA,0.000432120208003902,"up"
"ZNFX1",0.00184205253960501,0.000376072293144061,9.67509780883222e-07,8,0,0.000495395242492862,"up"
"FLJ42393",0.405758093784717,0.0829509948875425,1.00050151463259e-06,1,NA,0.000504406686684769,"up"
"CASTOR3",-0.512832146053839,0.105571432270182,1.18769657443408e-06,2,0,0.000589709344609165,"down"
"ZER1",-0.136860632150998,0.02848084013044,1.54474865763445e-06,5,0,0.000755543485234045,"down"
"GYPB",-0.11551316081367,0.0241328916541571,1.6967729604687e-06,3,0,0.000815543494116832,"down"
"PLEK2",-0.124774848907198,0.0260809269928476,1.71719563912302e-06,7,0,0.000815543494116832,"down"
"RP11-6J24.6",4.92878746747072,1.0311789599956,1.75504978666906e-06,1,NA,0.000821614021559216,"up"
"HBD",-0.457118702388887,0.0958258586772704,1.83945947073103e-06,3,4.91569505823354,0.000849001223321913,"down"
"PRR13",-0.0569075801415098,0.0119378068523455,1.86985045287365e-06,3,0,0.000851041657509297,"down"
"SMANTIS",-0.0383846153846154,0.0080760484395634,2.00523867735514e-06,1,NA,0.000900159882971616,"down"
"DEPP1",-0.816398858368302,0.171925823007571,2.04877343906128e-06,3,0,0.000907274399973488,"down"
"NKTR",0.10093305264936,0.0213132291353673,2.18300636568959e-06,9,1.58628733980157,0.000953828248048638,"up"
"KCNJ15",0.0701300529899773,0.0148960051964836,2.50187063961434e-06,8,0,0.00107876711658108,"up"
"APOBR",-0.0362859007859569,0.00773021805900344,2.67870433463e-06,6,0,0.00114001481877695,"down"
"JAML",0.0796765147738988,0.0169909857150372,2.74087189967203e-06,3,0,0.00115151759169554,"up"
"GNAQ",0.0334042210016079,0.00714589864899632,2.94526460499469e-06,9,0,0.00122172558361615,"up"
"MARCH7",0.381627089011372,0.0817994180584749,3.08015726220745e-06,5,2.96138212059005,0.00126170941853172,"up"
"WDR83OS",0.479560946093356,0.103022224681032,3.24095348600072e-06,2,0,0.00131118574983017,"up"
"BCL2L13",-0.0559048600303329,0.0120543516878017,3.52252062949413e-06,8,0,0.00140771952473808,"down"
"TNFAIP8L2",0.00169145667228722,0.000366554270350172,3.94084224106671e-06,4,0,0.00155592048481634,"up"
"NEK10",-0.760519759584746,0.165351986326506,4.23711569299186e-06,2,0,0.00165297953880171,"down"
"RNA5-8SN2",-0.0884361396396062,0.0192405648319784,4.29980953789763e-06,2,0,0.00165770304184594,"down"
"AK3",-0.274234862269743,0.059816646050391,4.54875762319363e-06,8,32.7000909185233,0.00173328822455878,"down"
"PHF11",0.0979828734454238,0.0213834909070205,4.60167013724902e-06,5,0,0.00173329575169713,"up"
"PRODH",0.549501726655536,0.121088783902406,5.67884254450332e-06,6,30.9161343879536,0.00211472352481107,"up"
"CBWD2",0.524400761106812,0.11676911957585,7.09162239899524e-06,1,NA,0.00261115130354016,"up"
"SCAT8",-2.24757017191998,0.501960132161058,7.5491459469195e-06,2,0,0.0027487279186728,"down"
"CTC-250I14.6",5.01397984315714,1.12244590190013,7.93195071469178e-06,1,NA,0.00285637390022472,"up"
"VNN2",0.0787200737933032,0.0177271658186806,8.96890939165984e-06,4,0,0.00319468653005101,"up"
"LINC00680",0.851327431157986,0.191845052267502,9.09766538125073e-06,1,NA,0.00320570424240415,"up"
"LINC01203",-2.53400443248321,0.571791484013616,9.34959857471057e-06,1,NA,0.0032594292052475,"down"
"STX10",0.264586649054122,0.0600146518591135,1.03992531681737e-05,4,0,0.0035871950139058,"up"
"COL24A1",0.60067245825503,0.136403842358427,1.06452982212651e-05,6,28.3436870507976,0.00359635487330782,"up"
"RPS10P26",-0.299414678136171,0.0679641845505459,1.05551163484698e-05,2,0,0.00359635487330782,"down"
"SUCLG2-DT",-0.848899573198825,0.193067035679592,1.09799721251509e-05,2,0,0.00367156823001221,"down"
"TSPYL5",-0.36175655743071,0.0824644516156787,1.15020848006832e-05,5,0,0.0038073062517009,"down"
"PTPN3",-0.50235137054877,0.114917837216538,1.23454668140942e-05,4,0,0.00404560947497866,"down"
"FZD8",0.265662712691989,0.0609130297392699,1.29265596700957e-05,9,5.30277195059661,0.00411502828041524,"up"
"SCARNA21",-0.117461538461538,0.026916777906577,1.27776778064961e-05,1,NA,0.00411502828041524,"down"
"YEATS2",0.300236543104124,0.0688423555959315,1.29340223644422e-05,5,0,0.00411502828041524,"up"
"SHB",0.532429529250849,0.122142695016916,1.30611583953526e-05,5,0,0.00411552077515099,"up"
"DUXAP10",-1.2088578864486,0.277826034691751,1.35436178699709e-05,1,NA,0.00422689864379949,"down"
"RASL11B",0.377054118233961,0.0867762398096581,1.3919265458345e-05,6,0,0.00430315404782986,"up"
"LINC00924",-3.69158474856608,0.853124339999428,1.51060934038873e-05,1,NA,0.00462641757799427,"down"
"DEXI",-0.274545010497398,0.0636607056724914,1.61324640057512e-05,9,3.38117757252698,0.00489500782841173,"down"
"MYL3",-0.55004409168769,0.127743988657785,1.66359647242613e-05,9,0,0.00500147306434903,"down"
"PCAT1",-1.75376282139916,0.407790980551846,1.7030437074617e-05,3,0,0.00507352202668363,"down"
"KIAA0895L",0.486996183571149,0.113467837917195,1.77125625711534e-05,5,0,0.00522919527438465,"up"
"GLULP4",-1.14388073612669,0.267885536615813,1.95441906219083e-05,1,NA,0.00566781528035341,"down"
"LOC102724788",1.2046131706609,0.282052275505446,1.94697746408292e-05,1,NA,0.00566781528035341,"up"
"RPS11P5",-0.0639542518138936,0.0150419333997944,2.12124730428559e-05,2,0,0.0060446325357773,"down"
"SRRM1P1",-6.17558145259553,1.45244274192329,2.12003517978451e-05,1,NA,0.0060446325357773,"down"
"IGHM",-0.0531578753403763,0.0125092830994312,2.14272920256079e-05,3,0,0.00605320999723424,"down"
"KLHL34",-0.697996047497812,0.164496890922823,2.20337926822361e-05,5,0,0.00615782989445598,"down"
"PRSS33",-0.00860174077073095,0.00202785168442907,2.2173449116442e-05,3,0,0.00615782989445598,"down"
"IFIT1B",-0.0617144804633366,0.014557364890796,2.24118842426256e-05,7,0,0.00617174324899867,"down"
"RPSAP19",-0.089,0.021027643076745,2.31083439553667e-05,1,NA,0.00631050359514472,"down"
"RPL21P93",-0.290200552319491,0.0686204237954686,2.34659685007995e-05,2,0,0.00635520485761323,"down"
"CASZ1",0.216876812222405,0.0513172650235161,2.37675155359911e-05,4,0,0.00638411052552809,"up"
"LINC03007",-1.61381439142368,0.383816511604705,2.61485585299081e-05,1,NA,0.00696657124410641,"down"
"MTND2P28",-0.0616519331048975,0.0147266333677355,2.83383613067771e-05,2,0,0.00748909758083133,"down"
"STIMATE-MUSTN1",-1.14812013617954,0.275059189654316,2.99187487012335e-05,1,NA,0.00784349915951538,"down"
"SMIM14",-0.180921418899301,0.0434211470470585,3.09086784431591e-05,8,0,0.00803870946493907,"down"
"NUTM2B",1.09486712201294,0.263720868151555,3.30139435445107e-05,3,0,0.00851863724372927,"up"
"MED28",-0.310996575546643,0.075098930514389,3.45556040875156e-05,8,36.9653766225778,0.00884677457771785,"down"
"OPN3",-0.00340000365209302,0.000821634124007422,3.50194704580149e-05,8,0,0.00889603137138874,"down"
"OLFM4",-0.42008213912115,0.101598499958913,3.5537564201238e-05,5,0,0.00895819983749668,"down"
"LOC124903659",-0.119307692307692,0.0290798791272186,4.08255080082172e-05,1,NA,0.0101352416471915,"down"
"SF3B1",0.196468639364639,0.0478680534954739,4.05402173039803e-05,8,31.2030293706187,0.0101352416471915,"up"
"MCFD2",-0.258805598737217,0.0632852514388044,4.32287489754592e-05,7,43.0277483749802,0.0106511737137278,"down"
"LOC730098",0.921181037188857,0.225353129479501,4.35628968660551e-05,1,NA,0.0106534039574674,"up"
"RPL6P10",1.15657401701684,0.284180394248365,4.70416834172361e-05,2,0,0.0114189330783913,"up"
"TNFAIP8L3",0.664493990594768,0.16346794989733,4.8036526082407e-05,5,0,0.0115746835273565,"up"
"LOC112694756",0.763251708047476,0.188756121213475,5.26397175717684e-05,1,NA,0.012591266750561,"up"
"LINC00570",-0.106886553863133,0.026463714554944,5.36829308084802e-05,2,0,0.0127477510332891,"down"
"PSMC1",0.225740789608635,0.0559243607127019,5.42458152637551e-05,8,0,0.0127887436416781,"up"
"RBM33",0.102243362824803,0.0253587809001403,5.53342851239493e-05,4,0,0.0129521751679416,"up"
"VSTM4",0.306407139938144,0.0764458332449607,6.11936276678626e-05,4,0,0.0142220934657862,"up"
"PCLAF",0.60467488575118,0.151133928974894,6.30964651741577e-05,3,0,0.014561064533501,"up"
"DNTTIP1",0.205051884631822,0.0513027504227839,6.41778103278492e-05,9,0,0.0146111921202341,"up"
"MARCHF2",-0.114707664377763,0.0286999003839602,6.42054215841841e-05,3,0,0.0146111921202341,"down"
"RPL21P20",-0.243639878752591,0.0610221355978826,6.53396565703261e-05,1,NA,0.0147667623848937,"down"
"TMEM86B",-0.0308665520973962,0.00774426876620248,6.72734242615035e-05,4,0,0.015099658308558,"down"
"HMGB1P5",0.708768632286511,0.177919465763888,6.78651993712108e-05,1,NA,0.0151288611115277,"up"
"GTF2IP4",-0.391519506991086,0.098579923918616,7.13930983721146e-05,1,NA,0.0158077826598256,"down"
"CCDC39",-0.997658231153505,0.25132446366748,7.19926182867351e-05,3,0,0.0158335443037336,"down"
"HNRNPR",0.244590930366409,0.0617592672642623,7.48267156393821e-05,8,6.51895511884716,0.0163471431433503,"up"
"FN1.1",-1.14206298847594,0.288827943178275,7.6813912969998e-05,1,NA,0.0166701452187208,"down"
"TCP11L2",-0.0680184946513839,0.0172454222793818,8.00842510235601e-05,4,0,0.0172655322765925,"down"
"IRF8",0.0238615848880426,0.00605630343194474,8.14956663747694e-05,7,0,0.0174549868437986,"up"
"MMP14",0.308697150288223,0.0785002057070835,8.40888573633619e-05,9,0,0.0177780119728863,"up"
"NAALAD2",-0.37655305737337,0.0957499199946121,8.40067274751577e-05,7,4.93262402460307,0.0177780119728863,"down"
"ADAMTS16",0.393895750138488,0.100292633657876,8.58461162095992e-05,4,0,0.0179183262941947,"up"
"STRADB",-0.339993004060474,0.0865555480768745,8.56436470712409e-05,5,36.9091930038788,0.0179183262941947,"down"
"NPM1P46",3.22867410136821,0.823934903193146,8.90635266548357e-05,1,NA,0.0184722263827783,"up"
"DTD1",-0.0103597298526587,0.00264808393768327,9.14740151696879e-05,10,0,0.0188528520572998,"down"
"NPIPA5",0.787128031894259,0.201682413517356,9.50825522390322e-05,3,0,0.0194740952304568,"up"
"PLXNB1",0.277524219868172,0.0711436489923628,9.58359603619066e-05,6,0,0.0195064870873272,"up"
"LILRA5",0.00507852468713437,0.00130556900791946,0.000100288133740494,4,0,0.0202866798930616,"up"
"EIF1",-0.0557006331587945,0.0143377206126731,0.000102371359669328,4,0,0.0205810396095943,"down"
"GGTA1",-0.0156396969059886,0.00405404625257767,0.000114412521187678,3,0,0.022756807305368,"down"
"ZNF254",-0.0175984420628448,0.00456221226193144,0.00011458264282532,4,0,0.022756807305368,"down"
"C16orf72",-0.194584568809381,0.0505664203389739,0.000119038168941062,4,0,0.0234992819048109,"down"
"ZNF266",0.0541225095358144,0.0140816761130855,0.000121306488382047,5,0,0.0238036743968842,"up"
"IP6K2",0.355634958168839,0.0926270793281325,0.000123321524439029,5,0,0.0240550378325415,"up"
"PGA5",1.98160773966576,0.516693460527052,0.00012547700066487,2,0,0.0243306586496319,"up"
"MEPCE",0.21561251500276,0.0562862389259146,0.000127808571845293,7,0,0.0246369817610014,"up"
"EEF1GP8",-0.326861254390305,0.0853869720173974,0.000129189214313786,1,NA,0.0247574886144021,"down"
"KBTBD3",-0.302690005640835,0.0793132393952099,0.000135420120265264,6,0,0.0258006822156553,"down"
"CSF2RB",0.0123932646935641,0.0032576337516955,0.00014216192153637,8,0,0.0263868778109835,"up"
"FMR1",0.0323144279553786,0.00848553234058833,0.00013999379727442,9,0,0.0263868778109835,"up"
"KIF9-AS1",4.02580694635011,1.05876721472296,0.000143328173645257,1,NA,0.0263868778109835,"up"
"RPL37P6",-0.239904441496742,0.0630414449842296,0.000141515995192797,1,NA,0.0263868778109835,"down"
"RPP21|TRIM39-RPP21",0.794362110936921,0.208902198027537,0.000143211422609281,1,NA,0.0263868778109835,"up"
"TROAP",0.224747572729627,0.0590782021753435,0.000142241070099139,5,0,0.0263868778109835,"up"
"DDT|DDTL",0.707012600025175,0.186035454584678,0.000144451869942708,1,NA,0.0264451831174444,"up"
"LRFN1",-0.0070520875873268,0.00185642050090894,0.000145424464743411,8,0,0.0264753317202311,"down"
"RPL21P46",-0.28276669560203,0.0745619558576287,0.000149214989260387,2,0,0.0270153325859828,"down"
"LRRC52",-2.10407801351111,0.55530282124323,0.000151215864027666,2,0,0.0272271640889375,"down"
"GJD2-DT",-0.833990433314876,0.220913005050752,0.000159880332161673,1,NA,0.0286299370761641,"down"
"MCL1|ADAMTSL4-AS1",-0.439751723358708,0.116740643911137,0.000165279277756832,2,7.24292903011985,0.029435880065714,"down"
"GFPT2",-0.340123434537163,0.0904363120103916,0.000169291815911171,9,14.0794943763759,0.0299875286886977,"down"
"OGT",0.0986243548430232,0.0262857846295648,0.00017542704359088,8,0,0.0309072269810384,"up"
"SMN1|SMN2",0.556811589936481,0.148526736657963,0.000177613280317516,1,NA,0.0311250652192781,"up"
"PIGC",-0.0951750243187131,0.0254063742827225,0.000179599228066803,9,0,0.0313056739561124,"down"
"TLR3",-0.221722150250072,0.0592305163996953,0.000181563530794906,8,0,0.0314806185404713,"down"
"LYL1",-0.108747041340818,0.0290676026890952,0.000183160597941966,8,0,0.0315903831292539,"down"
"OR13C6P",-1.81470149170874,0.485923434096057,0.000188057078819673,1,NA,0.0322650810100559,"down"
"LY6G6C",-0.29119057922817,0.0780752565572335,0.000191773236530833,4,0,0.0324583521002539,"down"
"POU5F1B",-1.34745569060148,0.361334107321199,0.000192155029217249,1,NA,0.0324583521002539,"down"
"TNFSF13B",0.0865660485147131,0.0232074812466567,0.000191409591771427,8,0,0.0324583521002539,"up"
"CAV3",-0.258915215572321,0.0696466664935937,0.000201161318301188,7,25.4057682599742,0.0338054174396407,"down"
"CD52",-0.0194850696274225,0.0052520661676887,0.000207274189104768,3,0,0.0346116940471087,"down"
"COLGALT1",0.313508571403961,0.0845262221542014,0.000208071520515118,4,0,0.0346116940471087,"up"
"PHOSPHO2",-0.241048939499013,0.0650324244466084,0.000210063438896287,9,0,0.0347665600637946,"down"
"CLEC4E",0.0959689827245938,0.0259230045755825,0.00021384092255584,6,0,0.0350378351607744,"up"
"PNMA6A",0.592711885351669,0.160064822515532,0.000213107678144316,2,0,0.0350378351607744,"up"
"KIAA1324L",2.30266904862704,0.62238843876656,0.00021582914044512,2,0,0.0351876663302816,"up"
"BCL2A1",0.0203656364699747,0.00551186544479517,0.000219997716705287,5,0,0.0356897285961993,"up"
"DIAPH2",-0.350516300743258,0.0949417533593234,0.000222577227891493,4,0,0.0359303239310554,"down"
"CHFR",0.057235525314083,0.0155352296282847,0.00022938540130642,9,0,0.036668095613714,"up"
"NECAP1",0.00549832410074536,0.00149188594655656,0.00022826703246706,9,0,0.036668095613714,"up"
"COQ10A",-0.233385589052464,0.0634005076193726,0.000232201441426054,7,0,0.0369380642501543,"down"
"MSC-AS1",0.636076298672424,0.172965397511767,0.000235552160696853,2,0,0.0372900691112844,"up"
"RP11-399J13.3",5.56557492531567,1.51407472255706,0.000237019929436309,1,NA,0.0373420340751339,"up"
"AC104389.16",3.69822911323972,1.01024517927901,0.000251503236720332,1,NA,0.0388762314496475,"up"
"ADAMTS9-AS2",-0.386108405579765,0.105408375460359,0.000249301386754981,3,0,0.0388762314496475,"down"
"GPR157",-0.435638193777261,0.118897652632552,0.000248329672083431,4,0,0.0388762314496475,"down"
"RASL10B",-0.565975820482613,0.154604547000349,0.000251432175924905,5,0,0.0388762314496475,"down"
"EIF5B",0.156747563902306,0.0428737485670179,0.000256154817015176,8,0,0.0393320269331516,"up"
"LGI1",-0.420804661495679,0.1151208734592,0.000256852418788356,8,0,0.0393320269331516,"down"
"RAB5IF",0.518181824326088,0.141893521269044,0.000260301008767174,2,0,0.0396747165455828,"up"
"C11orf98",0.505020480224264,0.138438546339153,0.00026431442740565,1,NA,0.0400999249355701,"up"
"RIOX2",-0.247319822999243,0.0678220470732917,0.000265733912702121,3,0,0.0401294945587489,"down"
"RP11-21J18.1",3.21682094171463,0.882796821209594,0.00026854062141941,1,NA,0.0403673218528168,"up"
"H3C10",-0.0492379316856136,0.0135734616627268,0.000286162489570534,3,1.54853622823765,0.0428198391928146,"down"
"DNAJC9",0.171535539222183,0.0474150325505235,0.000297179949448875,10,5.11625869916215,0.0439609140654175,"up"
"NPC1",0.513494899902296,0.141927977426262,0.000296892617946829,9,67.7468688907436,0.0439609140654175,"up"
"NUAK2",-0.38685354395209,0.106948484583314,0.000297812722689127,5,0,0.0439609140654175,"down"
"SPRTN",-0.2390123812331,0.0662143912085206,0.00030658180011325,5,0,0.0450524017475839,"down"
"MRPL23|LOC107987373",0.492386412840113,0.136544998036964,0.00031090796839183,1,NA,0.045282018329779,"up"
"SMCO1",-1.43021198028502,0.396576076636105,0.000310474375004619,2,0,0.045282018329779,"down"
"PNN",0.252865635906985,0.0701915865187181,0.000315163703200488,8,34.2037593091794,0.0456010421972432,"up"
"RNU4ATAC",-0.0374615384615385,0.0104004500580208,0.000315881494622344,1,NA,0.0456010421972432,"down"
"XPC",0.208809852853568,0.0579938392060006,0.000317541908868745,7,0,0.0456396857615297,"up"
"DHX9",0.171227417096541,0.0475814738947973,0.000319916085600625,10,0,0.0457801315507969,"up"
"FYB2",-0.6671615912992,0.185457786190484,0.000321442305999346,1,NA,0.0457985407286894,"down"
"EIF5A2",-0.236929291158033,0.0659681505765869,0.000328690703991676,6,0,0.0465050854393429,"down"
"KCNK1",0.296871418832839,0.0826678254972836,0.000329239542933401,8,0,0.0465050854393429,"up"
"LINC01697",-4.62702906977676,1.29027249782174,0.000335677370872556,1,NA,0.0472109332338784,"down"
"PLEKHD1",1.26528355642377,0.352976588192247,0.000337581721627073,4,0,0.0472758675970905,"up"
"ARHGEF6",-0.296692920934001,0.0828889944853672,0.0003443831383584,5,0,0.0476178710717501,"down"
"E2F6",-0.178042005755216,0.0497347073512749,0.00034381229784026,7,0,0.0476178710717501,"down"
"LOC102724057",-1.6361401920478,0.457050367503097,0.000343882369631363,1,NA,0.0476178710717501,"down"
"MAP6D1",-0.638279113570473,0.178739665251029,0.000355622650373423,2,0,0.0489653540030969,"down"
"OBSL1",0.275450802146789,0.0772601056465057,0.000363523684930613,3,0,0.0498438123647539,"up"
"SLC22A9",-0.199530084247309,0.0559859069420557,0.000365337678316669,2,0,0.0498838154934885,"down"
"TENT5C",-0.376402450378694,0.105718436301728,0.000370256563364671,3,24.6028786413004,0.0503456746118684,"down"
"GATB",0.30479036838357,0.0858759097972353,0.000386410495974792,3,0,0.0521097611238433,"up"
"INAVA",0.508891351270163,0.143360989319957,0.00038564128874847,2,0,0.0521097611238433,"up"
"CLDN12",-0.226299144544007,0.0638565912754251,0.00039430695887147,5,0,0.0524669228871574,"down"
"KRT18P21",-0.224355550324575,0.0633395702227432,0.000396944060578268,1,NA,0.0524669228871574,"down"
"PABPN1",0.316252937000715,0.0892665130849333,0.000395910660233335,5,8.57044625221481,0.0524669228871574,"up"
"TNNI1",-0.432790935920259,0.122150575360367,0.000395462141823698,7,1.68875194015582,0.0524669228871574,"down"
"TRAV13-1",0.00600072440178335,0.00169414964874406,0.000397064292829266,2,0,0.0524669228871574,"up"
"CIDEB",0.0570486286367056,0.0161270401796403,0.000404007793509146,6,0,0.0531700216598182,"up"
"LOC390282",-0.346511552363847,0.0980056402132122,0.000406806062960701,1,NA,0.0533241387328887,"down"
"WBP1L|CYP17A1-AS1",-0.307268624927906,0.0870458143267317,0.000415615601676459,2,0,0.0542618456850102,"down"
"NME1-NME2",0.616856343711721,0.174837166202694,0.00041843339174362,3,0,0.054412945426343,"up"
"DHRS7B",-0.205596703557086,0.0583045193187409,0.000421478182477567,7,0,0.054592253121699,"down"
"MRPL23-AS1",-3.42366406831231,0.971725836736302,0.00042623771596311,1,NA,0.054991377764217,"down"
"LINC01204",-2.40975191800064,0.685832845629624,0.000442054607505855,1,NA,0.0568083509332034,"down"
"GOLGA8Q|GOLGA8O",-2.62107038892725,0.746212376748849,0.000443913312740103,1,NA,0.056824372103489,"down"
"TSPAN31",-0.121030200876603,0.0345148581724821,0.000453851133710871,8,0,0.0578704344424328,"down"
"C6orf203",-0.363366695622344,0.103670995504479,0.000456609659230411,5,11.0971775675545,0.0579965059417851,"down"
"UAP1",-0.171072505246795,0.0488311178523985,0.000459445038234299,9,5.68756621279982,0.0581313278105713,"down"
"LINC01611",0.910474837787877,0.260035713841771,0.000462915549160836,1,NA,0.0583451636384638,"up"
"JUN",0.4856431433205,0.138815948908027,0.000467939387817276,9,51.7179610715518,0.0587523898037247,"up"
