food,leucine_per_100g_protein_vegan,bcaa_per_100g_protein_vegan,lysine_per_100g_protein_vegan,grams_for_leucine_threshold_vegan,kcal_for_leucine_threshold_vegan,mps_score_vegan,mps_rank_vegan
"Corn, yellow, raw",12.02127659574468,21.06382978723404,2.872340425531915,221.23893805309737,798.6725663716815,1.126387092023279,7
Pea protein isolate,8.666666666666668,17.866666666666667,7.333333333333333,38.46153846153847,146.15384615384616,0.5538651710764636,9
"Spirulina, dried",8.643478260869566,19.16521739130435,5.269565217391304,50.30181086519116,145.87525150905435,0.5157359753498529,10
"Soy flour, defatted",8.297872340425531,17.02127659574468,6.382978723404255,64.1025641025641,210.8974358974359,0.2787748505427939,20
Soy protein isolate,8.178438661710038,16.852540272614622,6.319702602230483,37.87878787878788,128.03030303030303,0.269267141069838,21
"Edamame, raw",8.15126050420168,17.226890756302517,6.470588235294119,257.7319587628866,311.8556701030928,0.20873391248971404,22
"Tofu, firm, raw",8.037974683544304,17.151898734177216,6.455696202531645,196.8503937007874,283.46456692913387,0.18407936690435098,23
"Tofu, regular, raw",8.024691358024691,17.160493827160497,6.419753086419753,384.6153846153846,292.30769230769226,0.17400852214820195,24
"Soybeans, mature, raw",8.136986301369864,17.26027397260274,6.438356164383562,84.17508417508417,375.4208754208754,0.17241872555599244,25
Tempeh,8.0,17.027027027027025,6.378378378378378,168.91891891891893,326.01351351351354,0.13536916656947293,26
