"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_DNA_METHYLATION_DEPENDENT_CONSTITUTIVE_HETEROCHROMATIN_FORMATION",8e-04,1,-0.757953624480787,-1.82960452965964,0,42,"MBD3L3,MBD3L2B,TDRD9"
"GOBP_NEGATIVE_REGULATION_OF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORT",0.00204081632653061,1,-0.851516331924909,-1.76188142448883,3,20,"RSC1A1"
"GOBP_CONSTITUTIVE_HETEROCHROMATIN_FORMATION",0.00228310502283105,1,-0.677314053359596,-1.73980919324947,1,62,"MBD3L3,MBD3L2B,TDRD9"
"GOBP_REGULATION_OF_MICROTUBULE_BASED_MOVEMENT",0.00228310502283105,1,-0.632370894218722,-1.6243641924273,1,62,"TAC4,GAS2L2,CFAP69,CCDC39,DEFB1,RUFY4,TPPP2,BBS1,MKKS,FNTA,TACR1,CLXN,CFAP43,CFAP206,TEX101,IRGC,TAC1,TRIM46,SEMG1,TACR3,TACR2,HAP1,TRIM58,DNAH11"
"GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE",0.00235505214758327,1,0.77190834612474,1.44558525310022,20,52,"MT-ND1,MT-ND2,MT-ND4L,MT-ND4,MT-ND3,MT-ND5,MT-ND6"
"GOBP_NUCLEOSIDE_TRANSPORT",0.00391696043869957,1,-0.919790095031748,-1.70008785357594,9,10,"RSC1A1"
"REACTOME_SLC_MEDIATED_TRANSPORT_OF_ORGANIC_CATIONS",0.00439367311072056,1,-0.88358280887366,-1.72046812120703,9,14,"RSC1A1"
"GOBP_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT",0.00455005055611729,1,-0.837751355277294,-1.71747418789654,8,19,"RSC1A1"
"GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT",0.0045766590389016,1,-0.579587015647045,-1.60441229471283,1,101,"RSC1A1,TCAF2,KCNE5,SLC43A2,PLN,RGS4,CAV3,PID1,IRS2,CLDN3,CRHR1,NEDD4,SLC43A1,OAZ3,PCSK9,ARL6IP5,KCNE2,PPP3CB,GRB10,SLN"
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE",0.00502873563218391,1,-0.726335869288519,-1.69259145031642,6,36,"RSC1A1,LRRC15,FZD9,PID1"
