"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"REACTOME_ZYGOTIC_GENOME_ACTIVATION_ZGA",0.00527240773286467,1,-0.883075725852885,-1.71948075458639,11,14,"LEUTX,KDM4E"
"GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT",0.0054127198917456,1,-0.590961734229757,-1.54280493971985,3,69,"RSC1A1,STEAP2,VAMP5,PHAF1,BBS1,SYS1,VAMP4,OPTN,RAB10,EXOC8,VAMP3,STXBP5L,CNST,GOLPH3,LYPLAL1,PKDCC"
"GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE",0.00544959128065395,1,-0.572571853491031,-1.50477266931365,3,70,"RSC1A1,ARHGAP44,VAMP5,PHAF1,BBS1,SYS1,VAMP4,OPTN,RAB10,SORL1,VAMP3,CNST,GOLPH3,LYPLAL1,PKDCC,ARL6,VPS35,ARFRP1,GRIP2"
"GOBP_REGULATION_OF_CILIUM_MOVEMENT",0.00561347233360064,1,-0.689357305196245,-1.671085174886,6,43,"TAC4,GAS2L2,CFAP69,CCDC39,DEFB1,TPPP2,BBS1,MKKS,TACR1,CLXN,CFAP43"
"REACTOME_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT",0.00578034682080925,1,-0.521095441866394,-1.47337809354089,1,117,"LEUTX,KDM4E,PABPN1L,H2BC12,H2BC17,H3C6,H2AC7,H2BC21,METTL23,H3-3B,ZP2,H2AC8,H2AC20,ELOC,H2BC4,TUT4,NOBOX,ZFP36L2,H2AC4,H3C2,H3C11,UNG"
"GOBP_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT",0.00587741393786734,1,-0.65766642526796,-1.60517192189287,6,45,"RSC1A1"
"GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT",0.00606060606060606,1,-0.483941528281432,-1.3725820868638,1,120,"RSC1A1,STEAP2,VAMP5,PHAF1,BBS1,SYS1,VAMP4,OPTN,RAB10,EXOC8,SORL1,VAMP3,STXBP5L,CNST,VPS52,GOLPH3,VPS13A,LYPLAL1,PKDCC,ARFRP1,WIPI1,DOP1B,LAPTM5,MON2,RP2,SORCS1,KLHL20,RABEP1,ANKFY1,RABIF,EXOC6,BBS2,RBSN,AP3M1,COMMD1,SPTBN1,GOLGA7,CCDC93"
"GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION",0.00657894736842105,1,-0.482350999299412,-1.41181187231326,0,166,"TAC4,CD24,CXCL8,CXCL13,SAA1,P2RY1,ADRA1D,HTR2A,CAV3,CCL2,SLC8A3,ACKR3,TRPC3,GIPR,ITGAV,TACR1,ASPH,S1PR3,CD55,IL2,GPR33,C1QTNF1,CCR4,ABL2,PTGIR,NPY2R,XCR1,GRM5,TRPC5,EDNRB,PLA2G1B,BCL2,TAC1,JAK2,JPH3,ESR1,BDKRB1,CCR3,PTGDR,P2RX3,GRIN1,GATA1,CCR1,NPTN,LPAR1,PLCZ1,ACKR4,GATA2,CXCR5,AVPR1A,ACKR2,CCR9,GPR32,GPR6,CX3CR1"
"GOBP_REGULATION_OF_CILIUM_DEPENDENT_CELL_MOTILITY",0.00663129973474801,1,-0.727849018855466,-1.6616239295599,9,32,"TAC4,GAS2L2,CFAP69,DEFB1,TPPP2,BBS1,MKKS,TACR1,CLXN,CFAP206,TEX101,IRGC,TAC1,SEMG1,TACR3,TACR2"
"GOBP_NEGATIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION",0.0072463768115942,1,-0.508032048966788,-1.44375664637327,1,128,"RSC1A1,CABP1,PRKN,KCNB1,IRS1,YOD1,FERMT1,IL12A,CORO2B,DPH3,ADRA2C,ANGPT1"
"GOBP_REGULATION_OF_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT",0.00765957446808511,1,-0.881001684589695,-1.70348044291134,17,13,"RSC1A1"
"GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT",0.00785854616895874,1,-0.53002657363623,-1.44578174526695,3,93,"RSC1A1,SLC29A4,SLC15A2,SLC25A41,TMEM241,SLC17A9,SLC25A19,CR1,SLC35A1,SLC35A3,ANKH,LRRC8D,SLC29A2,PANX1"
"REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_INTEGUMENTARY_SYSTEM",0.00833333333333333,1,-0.567445486426819,-1.49194194252798,5,71,"KPRP,CD24,HOPX,KRTDAP,KRT5,TFRC,CASP14,KRT10,KRT1,CNN1,KRT14,IVL,LORICRIN,CALML5,LRIG1"
"GOBP_NEGATIVE_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE",0.00835654596100279,1,-0.784108256540148,-1.68785688797679,14,24,"TAC4,CRH,MAS1,ARHGAP42,ADRB2"
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE",0.00909090909090909,1,-0.46895348932336,-1.330072170709,2,120,"RSC1A1,ARHGAP44,LRRC15,PID1,RHOQ,PKP1,TMEM59,RANGRF,VAMP4,ATP2B4,PPP2R5A,GBP1,MRAP,CSRP3,CNST,ZDHHC5,NRXN1,IFNG,VIL1,LYPLAL1,PKDCC,LYPD1,CAMK2A,EGFR"
"REACTOME_MITOCHONDRIAL_TRANSLATION",0.0107861439535366,1,0.674045369625257,1.33967428584987,103,113,"MT-ATP8,MT-ND1,MT-ND2,MT-ND4L,MT-CO2,MT-ND4,MT-ND3,MT-ND5,MT-CYB,MT-CO3,MT-ND6,MT-CO1"
"REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN",0.0112107623318386,1,-0.657682852236285,-1.55322591026071,14,38,"KPRP,HOPX,KRTDAP,KRT5,TFRC,CASP14,KRT10,KRT1,KRT14,IVL,LORICRIN,CALML5,LRIG1"
"REACTOME_SENSORY_PERCEPTION_OF_TASTE",0.0130612244897959,1,-0.623312850535468,-1.51847084439492,15,44,"TAS2R20,TAS2R3,TAS2R41,SCN2B,GRM4,TAS2R31,SCNN1G,TAS1R3,TRPM5,TAS2R40,SCN4B"
"GOBP_FUCOSE_METABOLIC_PROCESS",0.0139289145052834,1,-0.814903695323732,-1.64444019624214,28,17,"FUT5"
"GOBP_POSITIVE_REGULATION_OF_CILIUM_MOVEMENT",0.014807959278112,1,-0.820617621516927,-1.63966544982591,31,16,"TAC4,CFAP69,DEFB1"
"GOBP_EXTRACELLULAR_TRANSPORT",0.0152740341419587,1,-0.600690397047094,-1.50142672312527,16,51,"CFAP221,CCDC39,NEK10,CFAP54,AQP4,ODAD4,DNAAF11,DNAAF4,CFAP43,DNAAF3,RFX3,NME5,KATNIP,NME7,SPA17,NPHP3"
"GOBP_DETECTION_OF_ABIOTIC_STIMULUS",0.0157894736842105,1,-0.430596497585345,-1.24850017163743,2,154,"TAC4,CABP1,TRPA1,RGS9BP,ADGRV1,PRCD,HTR2A,CAV3,HPN,KCNK2,MKKS,PKDREJ,TRPC3,LHFPL5,GUCA1A,WDR47,SCN1A,MMP24,NMT2,TACR1,ELOVL4,ATP8A2,GUCA1B,COL11A1,OPN4,CSRP3,PCP2,NGFR,GRIK2,CABP2,FECH,SERPINE2,TAC1,RP1,AIPL1,KCNQ1,CARTPT,PRPH2,PIEZO2,TMC2,KCNK4,OPN1SW,CACNA1F,PDE6C,GPR88"
"GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY",0.0170232344145388,1,0.75423618347028,1.37877007583023,147,40,"MT-ND1,MT-ND2,MT-ND4,MT-ND5,MT-ND6"
"GOBP_NEGATIVE_REGULATION_OF_GENE_SILENCING_BY_REGULATORY_NCRNA",0.0189673340358272,1,-0.769542760734978,-1.60651774080728,35,21,"LINC-ROR,HOXB-AS3,ERI2,ELOC,ADAR"
"GOBP_FUCOSE_CATABOLIC_PROCESS",0.0195848021934978,1,-0.874896493789226,-1.61710906679844,49,10,"FUT5"
"GOBP_ONE_CARBON_COMPOUND_TRANSPORT",0.0203470975463794,1,-0.71260836783932,-1.56744856004468,33,27,"AQP7B,HBD,HBA1,HBB,SLC14A1,AQP7,AQP1,HBA2,AQP11,AQP6,AQP10,RHCG,AQP8,POU3F3"
"GOBP_REGULATION_OF_FLAGELLATED_SPERM_MOTILITY",0.021195652173913,1,-0.739113242255355,-1.57480839401028,38,23,"TAC4,CFAP69,DEFB1,TPPP2,TACR1,CLXN,CFAP206,TEX101,IRGC,TAC1,SEMG1,TACR3,TACR2"
"GOBP_REGULATION_OF_GENE_SILENCING_BY_REGULATORY_NCRNA",0.0214067278287462,1,-0.623600664476787,-1.49288040809071,27,40,"LINC-ROR,HOXB-AS3,ERI2,ELOC,ADAR"
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY",0.023121387283237,1,-0.425736209535328,-1.23819141067684,3,157,"RSC1A1,ARHGAP44,LRRC15,PID1,RHOQ,PKP1,TMEM59,RANGRF,VAMP4,ATP2B4,PPP2R5A,GBP1,RAB38,GPC6,EPB41L2,GPSM2,MRAP,CSRP3,CNST,ZDHHC5,NRXN1,IFNG,VIL1,IQSEC2,LYPLAL1,PKDCC,VPS35,GHSR,LYPD1,CAMK2A,EGFR,LZTFL1,CLIP3"
"GOBP_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS",0.0247083047357584,1,-0.67139732087309,-1.54008464755589,35,33,"TAC4,TRPA1,HTR2A,WDR47,MMP24,OPN4,OPRK1,GABRB3,GRIK2,GRM5,TAC1"
"REACTOME_DEFENSINS",0.0252618607516944,1,-0.694765999986386,-1.53978862686573,40,28,"DEFB103B,DEFB1,DEFA1B,DEFA1,ART1,DEFA3,TLR1"
"GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS",0.0262891809908999,1,-0.768703780590888,-1.57591974395117,51,19,"TAC4"
"GOBP_MUCOCILIARY_CLEARANCE",0.0265914585012087,1,-0.842691618040762,-1.58400745190073,65,11,"CFAP221,NEK10,CFAP54,ODAD4"
"GOBP_CEREBROSPINAL_FLUID_CIRCULATION",0.0288184438040346,1,-0.773414403681002,-1.56071661113333,59,17,"CFAP221,CCDC39,CFAP54,AQP4,ODAD4,DNAAF11"
"GOBP_NEGATIVE_REGULATION_OF_POST_TRANSCRIPTIONAL_GENE_SILENCING",0.0299313052011776,1,-0.765966457031911,-1.55618517480378,60,18,"LINC-ROR,HOXB-AS3"
"GOBP_ACTION_POTENTIAL",0.0303030303030303,1,-0.423537043879564,-1.25420465639869,3,179,"TRPA1,KCNG2,KCNA10,KCNE5,PTPN3,SCN2B,KCNB1,UNC79,CASQ2,GRIA1,KCNQ3,CAV3,CTNNA3,KCNK2,ATP1B1,KCNA7,BBS10,KCND3,ATP2A2,KCNIP2,KCNC1,DSG2,RANGRF,SCN1A,NALF1,KCNG4,DSP,TACR1,KCNV1,KCNE2,GPD1L,ATP1A1,GJA1,P2RX1,SCN4B,KCNE3,KCNB2,KCNS1,KCNMB2,GRIK2,KCNJ8,GJD2,ANK2,NALCN"
"GOBP_HOMOPHILIC_CELL_CELL_ADHESION",0.0307692307692308,1,-0.417714403500589,-1.23216974402897,3,178,"PCDHA10,PCDHA7,PSG11,PCDHA11,IGSF23,PCDHA8,PCDHA3,PCDHA6,SDK2,PCDH9,CDHR1,PCDHA4,PIK3CB,PTPRR,PCDH8,PCDH19,CADM3,PCDHGA11,PCDH15,PSG5,DSG2,CDH8,CDH20,CDH19,CDH22,NECTIN4,IGSF9,PCDHGB5,CDHR4,CDH24,CLSTN3"
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE",0.0307692307692308,1,-0.428667131795615,-1.26447799173745,3,178,"RSC1A1,GPC2,PRKN,ARHGAP44,LRRC15,FZD9,PID1,CRIPT,SHISA6,SSH1,RHOQ,PKP1,TMEM59,RANGRF,VAMP4,ATP2B4,PPP2R5A,GBP1,GPC6,PIK3CA,MRAP,CSRP3,CNST,ZDHHC5,NRXN1,IFNG,VIL1,IQSEC2,LYPLAL1,PKDCC,GHSR,LYPD1,CAMK2A,EGFR,LZTFL1,CLIP3"
"GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN",0.0316333118140736,1,-0.672720404882436,-1.50973984399586,48,30,"TAC4,TRPA1,HTR2A"
"GOBP_VESICLE_CARGO_LOADING",0.0326704545454545,1,-0.642184852384253,-1.49234801520039,45,35,"CTAGE6,CTAGE4"
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",0.0344827586206897,1,-0.428608457971351,-1.27430829230348,2,197,"KISS1,CCL27,CXCL8,INSL3,CXCL13,NPB,SAA1,CXCL1,NPFFR1,MAS1,CCL13,CCL2,MC4R,CXCL3,C3,ACKR3,SSTR4,HCRTR1,PRLH,CXCL5,CCL3L3,CCL19,ANXA1,RXFP2,CCL16,NMUR1,NMBR,TACR1,CCKAR,CCL23,GALR3,MCHR2,OXTR,CCR4,OPRK1,CORT,CXCL6,NPY2R,APLNR,XCR1,NPY,SSTR5,EDNRB,ECE2,TAC1,GHSR,CCL22,CCL20,SSTR2,F2,BDKRB1,CCR3,TACR3,TACR2,PDYN,OPRD1,CCR1,PPY,GPR37L1,NPY5R,ACKR4,CXCR5,AVPR1A,ACKR2,CCR9,C5,CX3CR1"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.035672514619883,1,-0.686835745391656,-1.4990667232128,60,26,"FUT5"
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION",0.0357142857142857,1,-0.40476913240956,-1.20942890218291,2,204,"RSC1A1,CABP1,PRKN,KCNB1,IRS1,LRRC15,FZD9,CAV3,YOD1,PID1,FERMT1,ABHD17B,IL12A,ABHD17C,DPH3,ADRA2C,ANGPT1,TAX1BP3,RHOQ,TMEM59,PPP2R5A,GBP1,ACTN2,TRIM29,MFHAS1,CHGA"
"GOBP_REGULATION_OF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORT",0.0357142857142857,1,-0.500772818538386,-1.32772001715361,22,77,"RSC1A1"
"REACTOME_COMPLEX_I_BIOGENESIS",0.0377297297297297,1,0.685529338383305,1.31797394778495,348,68,"MT-ND1,MT-ND2,MT-ND4,MT-ND3,MT-ND5,MT-ND6"
"GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION",0.0383295194508009,1,-0.69343614243642,-1.50499378565144,66,25,"MYL3,MYL2,PLN,MYH6,ATP2A2,ATP2B4,CHGA,ATP1A1,CSRP3"
"GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION",0.0402930402930403,1,-0.470249737112283,-1.26818248855057,21,87,"KCNE5,SCN2B,MYH7B,CASQ2,PLN,TNNC1,PDE4D,CAV3,CTNNA3,SGCD,KCND3,ATP2A2,ADRB2,DSG2,MYBPC3,RANGRF,SCN1A,STC1,DSP,KCNE2,GPD1L,PIK3CA,ATP1A1,GJA1,SCN4B,KCNE3,KCNJ8,ANK2"
"GOBP_AMINO_SUGAR_METABOLIC_PROCESS",0.0408,1,-0.587858761702592,-1.41901696683348,50,42,"CHST5,CHIT1,GFPT2,NPL,UAP1,SLC35A1,SLC35A3,NANP,B4GALNT2"
"GOBP_SULFATION",0.0410958904109589,1,-0.721008561709733,-1.50519646829546,77,21,"CHST5,SULT1A2,SULT1A4"
"GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE",0.0422535211267606,1,-0.403638018794875,-1.19279560493404,5,173,"RSC1A1,STEAP2,SLC1A1,ARHGAP44,VAMP5,PHAF1,BBS1,SYS1,VAMP4,OPTN,ACTN2,COMMD7,RAB10,EXOC8,VPS26C,SORL1,NDRG4,EHD1,WIPF3,VAMP3,STXBP5L,CNST,VPS52,SNX3,COMMD2,GOLPH3,LYPLAL1,PKDCC,VPS35,ARFRP1,GRIP2,DENND10"
"GOBP_CARBOHYDRATE_TRANSPORT",0.0427350427350427,1,-0.411406246891288,-1.18064781353531,9,137,"RSC1A1,AQP7B,DHRS7C,IRS1,PID1,SLC2A12,C3,IRS2,PDZK1IP1"
"GOBP_SENSORY_PERCEPTION_OF_PAIN",0.0437158469945355,1,-0.46485674644824,-1.2580717909727,23,88,"TAC4,TRPA1,RETREG1,HTR2A,CCL2,ACP3,SMR3A,SMR3B,SCN1A,MMP24,NDN,OPRK1,AQP1,GRIN2A,ALOXE3,GRM5,TAC1,TAFA4"
"GOBP_REGULATION_OF_BILE_ACID_BIOSYNTHETIC_PROCESS",0.0459307010475423,1,-0.820767448274428,-1.54279658953646,113,11,"MALRD1,NR1D1,PROX1,CYP7A1,STAR"
"GOBP_OXYGEN_TRANSPORT",0.0460912788070493,1,-0.768669173401069,-1.51484961550526,101,15,"HBD,HBM,HBQ1,HBA1,HBB"
"GOBP_DETECTION_OF_TEMPERATURE_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN",0.0468914646996839,1,-0.712196050597587,-1.48679923793336,88,21,"TAC4,HTR2A"
"REACTOME_INTERLEUKIN_10_SIGNALING",0.0470193115029387,1,-0.56581237276398,-1.38098297088874,55,45,"CXCL8,CSF3,CXCL1,CCL2,IL12A,PTGS2,CCL3L3,CCL19,CD86,CD80,CSF2,CCL22,CCL20,TNFRSF1B,CSF1,IL12B,CCR1,IL1R1,IL1RN,IL6,IL18,LIF"
"GOBP_HETEROCHROMATIN_ORGANIZATION",0.0476190476190476,1,-0.398207172388973,-1.18700672729187,2,223,"MBD3L3,MBD3L2B,TDRD9,PTENP1-AS,ERI2,H3C6,H2AC7,H2AC21,BMI1,H3-3B,H2AC8,H2AC20,PRDM16,E2F6,ZNF304,TNP1,H2AC15,H2AC11,HMGA2,H2AC4,BCL6,TDRD12,H3C2,H3C11,DNMT3A"
"REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS",0.0491493383742911,1,-0.64741847670446,-1.44609215568622,77,29,"NIPAL1,NIPAL4,NIPAL2,NIPA2,NIPAL3,ANKH,LRRC8D,MRS2,NIPA1,RHCG,LRRC8B,TUSC3,AZGP1,CSN1S1"
"GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS",0.0492424242424242,1,-0.426572092376748,-1.21584173748232,12,131,"TAC4,CRH,TRPA1,ZNF488,PRKN,UNC79,RGS4,GRIA1,SLC8A3,ADRB2,SSH1,ACP3,SMR3A,CHRNA2,SMR3B,WASF3,NALF1,PTEN,ELOVL4,STX1A,CTSC,GRIN2A,PRKCZ,NPY2R,NRXN1,GRIK2,GRM5,NLGN1,NALCN,TAC1,GHSR,TAFA4,RNF10,HTR2C,GRIN1,TNFRSF1B,NLGN3"
"GOBP_GAS_TRANSPORT",0.0497592295345104,1,-0.700949500539074,-1.4754506037838,92,22,"HBD,HBM,HBQ1,HBA1,HBB,AQP1,HBA2,AQP6,RHCG,BPGM"
"GOBP_DETECTION_OF_TEMPERATURE_STIMULUS",0.052064631956912,1,-0.659533719898948,-1.45070592237224,86,27,"TAC4,HTR2A,WDR47,MMP24,OPN4,NGFR,GRIK2,TAC1"
"GOBP_MAGNESIUM_ION_TRANSPORT",0.0521601685985248,1,-0.701850519329509,-1.46520163430654,98,21,"NIPAL1,NIPAL4,NIPAL2,NIPA2,NIPAL3,CNNM4,SLC41A2,MRS2,NIPA1,TUSC3,ZDHHC13,SLC41A3,CLDN16"
"GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS",0.0526315789473684,1,-0.355165766208215,-1.08303224336332,0,311,"FUT5,CHST5,GAL3ST2,B3GAT2,ST8SIA6,C1GALT1C1L,GALNT13,GFPT2,FKTN,GCNT3,TRAK2,GALNT15,GALNT17,ALG11,TMTC4,PLOD2,GALNT10,SERP1,MGAT4C,B3GALT2,CCL19,LARGE2,ANGPT1,UST,TMEM59,HS3ST1,ACER2,CHST12,EXTL1,GAL3ST3,B3GALNT2,ST3GAL2,CHST9,FOXL1,SLC35A1,ALG14,C1GALT1,OSTC,FAM20B,POMGNT2,TMTC1,ALG2,C1GALT1C1,NECAB3,ENTPD5,B4GALT4,GALNT4,B4GALNT2,NECAB1,ST8SIA3,HBEGF,VANGL2,GOLPH3,SLC10A7,AQP11,TET1,MGAT5B,A4GNT,BCL2,EXT1,RXYLT1,GALNTL5,ST8SIA2,NDST4,EOGT,PLCB1,TRAK1,ST8SIA5,SRD5A3,GATA1,TNIP1,TUSC3,B3GNT2,ST3GAL6,ST3GAL1,ST6GALNAC1,FKRP,FUT8,GALNT6,MGAT2,B3GLCT,GALNT1,B3GALT5,GANC,FUT6,CANT1,PLOD1,UGGT2,EXT2"
"GOBP_GOLGI_VESICLE_TRANSPORT",0.0526315789473684,1,-0.392765455067247,-1.20709033771816,0,320,"RSC1A1,CTAGE6,RAB6D,CTAGE4"
"GOBP_POTASSIUM_ION_TRANSPORT",0.0526315789473684,1,-0.380049782289527,-1.13890646053409,2,229,"LRRC52,KCNG2,KCNA10,FXYD2,KCNE5,KCNB1,ATP1B4,SLC9A4,CASQ2,RGS4,KCNT2,KCNQ3,HTR2A,CAV3,HPN,KCNK2,SLC9A5,KCNK15,ATP1B1,KCNA7,SLC9A2,KCND3,KCNIP2,NEDD4,KCNJ6,KCNAB1,KCNC1,KCNG4,ACTN2,KCNV1,KCNE2,ATP1A3,TRPM5,OPRK1,ATP1A1,FXYD4,AQP1,KCNE3,FXYD6,KCNB2,AMIGO1,KCNJ9,KCNS1,KCNK5,KCNMB2,KCNJ8,ANK2,NALCN,KCNH5"
"GOBP_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE",0.0526315789473684,1,-0.388539972626084,-1.17552428218908,0,296,"RSC1A1,CRB3,FYB2,KCNB1,ARHGAP44,LRRC15,VAMP5,P2RY1,CAV3,PID1,PHAF1,EMP2,ATP1B1,PALM,DUOXA2,IFT20,BBS1,SYS1,RHOQ,PKP1,TMEM59,RANGRF,TSPAN5,VAMP4,ATP2B4,PPP2R5A,GBP1,OPTN,ACTN2,HSP90B1,ARL6IP5,EFR3A,RAB10,SLC4A1,SORL1,TSPAN33,MRAP,EHD1,CSRP3,S100A10,VAMP3,CNST,PALS1,KCNB2,ZDHHC5,PRKCZ,NRXN1,GOLPH3,IFNG,VIL1,ANK2,LYPLAL1,PKDCC,ARL6,VPS35,LYPD1,CAMK2A,ARFRP1,GRIP2,EGFR"
"REACTOME_BETA_DEFENSINS",0.0540950455005056,1,-0.719851162434595,-1.47576698362907,106,19,"DEFB103B,DEFB1"
"GOBP_KERATAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS",0.055937193326791,1,-0.728308096899593,-1.47967610419458,113,18,"CHST5"
"GOBP_DISRUPTION_OF_ANATOMICAL_STRUCTURE_IN_ANOTHER_ORGANISM",0.056547619047619,1,-0.431398061028727,-1.22512176369314,18,119,"DEFB103B,CCL27,H2BC12,CXCL8,CXCL13,CXCL1,DEFA1B,CCL13,DEFA1,CXCL3,GZMH,NCF1,C8G,PCYOX1L,DEFA3,LCE3B,CCL19,CCL18,GBP1,CHGA,GBP7,LCE3C,S100A12,HMGN2,CXCL6,GZMB,CAMP,NPPB,TAC1,CCL22,CFHR5,CCL20,F2,SEMG1,DEFB125,RPS19"
"GOBP_ERYTHROCYTE_DEVELOPMENT",0.0575471698113208,1,-0.531420573769325,-1.33580300784436,60,53,"HBD,HBM,HBQ1,HBA1,ADGRF5,SLC25A40,HBB,BCL6,SLC4A1,FAM210B,SMIM1,KLF2,HBA2,BPGM,SLC11A2,TRIM58,GATA1,HEATR3,JMJD6,RHAG,LYAR,ABCB10,PTBP3,SRF,HBZ"
"REACTOME_DEVELOPMENTAL_CELL_LINEAGES",0.0575916230366492,1,-0.401999226727754,-1.16267516455908,10,151,"KPRP,CD24,HOPX,KRTDAP,KRT5,TFRC,CASP14,KRT10,ANXA3,KRT1,COL5A2,LAMC2,FN1,ANXA1,LAMB3,VTN,CNN1,SLC4A4,SOX17,CD74,KRT14,IVL,COL11A1,SERPINA4,KRT23,LORICRIN,AQP1,CALML5,LRIG1,ANXA2,CEL,PLA2G1B,ESR1,EGFR,PNLIP,AQP8,PNLIPRP2,ALDH1A1,CPA2,CLDN10,FGF2,SOX9,ONECUT1,ERBB2,LAMA4,GP2,SBSN,LAMA1,FABP5,RNASE1"
